district_std,samiti_raw,samiti_std
JALOR,SARNAU,SARNAU
JALOR,SAYALA,SAYLA
JALOR,SAYLA,SAYLA
JHALAWAR,AKALERA,AKLERA
JHALAWAR,AKLERA,AKLERA
JHALAWAR,BAKANI,BAKANI
JHALAWAR,BHAVANI MANDI,BHAWANI MANDI
JHALAWAR,BHAVANIMANDI,BHAWANI MANDI
JHALAWAR,DAG,DAG
JHALAWAR,DUG,DAG
JHALAWAR,JHALRAP A T AN,JHALRAPATAN
JHALAWAR,JHALRAPATAN,JHALRAPATAN
JHALAWAR,KHANPUR,KHANPUR
JHALAWAR,MANOHAR THANA,MANOHARTHANA
JHALAWAR,MANOHARTHANA,MANOHARTHANA
JHALAWAR,PIDAWA,PIRAWA (SUNEL)
JHALAWAR,PIRAWA,PIRAWA (SUNEL)
JHUNJHUNU,ALSISAR,ALSISAR
JHUNJHUNU,BUHANA,BUHANA
JHUNJHUNU,CHIRAWA,CHIRAWA
JHUNJHUNU,JHUNJHUNU,JHUNJHUNU
JHUNJHUNU,KHETRI,KHETRI
JHUNJHUNU,MANDAWA,MANDAWA
JHUNJHUNU,NAW ALGARH,NAWALGARH
JHUNJHUNU,NAWALGARH,NAWALGARH
JHUNJHUNU,PILANI,PILANI
JHUNJHUNU,SINGHANA,SINGHANA
JHUNJHUNU,SURAJGARH,SURAJGARH
JHUNJHUNU,UDAIPURWATI,UDAIPURWATI
JHUNJHUNUN,ALSISAR,ALSISAR
JHUNJHUNUN,BUHANA,BUHANA
JHUNJHUNUN,CHIRAWA,CHIRAWA
JHUNJHUNUN,JHUNJHUNU,JHUNJHUNU
JHUNJHUNUN,JHUNJHUNUN,JHUNJHUNU
JHUNJHUNUN,KHETRI,KHETRI
JHUNJHUNUN,MANDAWA,MANDAWA
JHUNJHUNUN,NAW ALGARH,NAWALGARH
JHUNJHUNUN,NAWALGARH,NAWALGARH
JHUNJHUNUN,PILANI,PILANI
JHUNJHUNUN,SINGHANA,SINGHANA
JHUNJHUNUN,SURAJGARH,SURAJGARH
JHUNJHUNUN,UDAIPURWATI,UDAIPURWATI
JODHPUR,AAU,AAU
JODHPUR,BALESAR,BALESAR
JODHPUR,BAP,BAP
JODHPUR,BAPINI,BAPINI
JODHPUR,BAWARI,BAWADI
JODHPUR,BHOP ALGARH,BHOPALGARH
JODHPUR,BHOPALGARH,BHOPALGARH
JODHPUR,BILARA,BILARA
JODHPUR,CHAMU,CHAMU
JODHPUR,DECHU,DECHU
JODHPUR,DHAVA,DHAWA
JODHPUR,GHANTIYALI,GHANTIYALI
JODHPUR,KERU,KERU
JODHPUR,LOHAWAT,LOHAWAT
JODHPUR,LUNI,LUNI
JODHPUR,MANDOR,MANDOR
JODHPUR,MANDORE,MANDOR
JODHPUR,OSIAN,OSIAN
JODHPUR,OSIYAN,OSIAN
JODHPUR,PHALODI,PHALODI
JODHPUR,PIPAR SAHAR,PEEPAD SAHAR
JODHPUR,PIPAR SHAHAR,PEEPAD SAHAR
JODHPUR,PIPARSHAHAR,PEEPAD SAHAR
JODHPUR,SEKHALA,SEKHALA
JODHPUR,SHERGARH,SHERGARH
JODHPUR,TINW ARI,TINWARI
JODHPUR,TINWARI,TINWARI
KARAULI,HINDAUN,HINDAUN
KARAULI,KARAULI,KARAULI
KARAULI,KAURALI,KARAULI
KARAULI,MANDRAYAL,MANDRAYAL
KARAULI,MASALPUR,MASALPUR
KARAULI,NADOTI,NADAUTI
KARAULI,SAPOTRA,SAPOTRA
KARAULI,SHRIMHAVEERJI,SHRI MAHAVEER JI
KARAULI,TODABHIM,TODABHIM
KOTA,ITAWA,ITAWA
KOTA,KHERABAD,KHAIRABAD
KOTA,KHAIRABAD,KHAIRABAD
KOTA,LADPURA,LADPURA
KOTA,SANGOD,SANGOD
KOTA,SULTANPUR,SULTANPUR
NAGAUR,BHAIRUNDA,BHERUNDA
NAGAUR,DEEDW ANA,DIDWANA
NAGAUR,DEEDWANA,DIDWANA
NAGAUR,DEGANA,DEGANA
NAGAUR,DIDW ANA,DIDWANA
NAGAUR,DIDWANA,DIDWANA
NAGAUR,JAYAL,JAYAL
NAGAUR,KHINW ASAR,KHINVSAR
NAGAUR,KHINWASAR,KHINVSAR
NAGAUR,KUCHAMAN,KUCHAMAN CITY
NAGAUR,KUCHAMANCITY,KUCHAMAN CITY
NAGAUR,LADNU,LADNU
NAGAUR,LADNUN,LADNU
NAGAUR,MAKRANA,MAKRANA
NAGAUR,MERTA,MERTA
NAGAUR,MOULASAR,MOLASAR
NAGAUR,MUNDAWA,MUNDWA
NAGAUR,MUNDW A,MUNDWA
NAGAUR,MUNDWA,MUNDWA
NAGAUR,NAGAUR,NAGAUR
NAGAUR,NAVAN,NAWA
NAGAUR,PARBATSAR,PARBATSAR
NAGAUR,RIYAN,RIYAN BADI
PALI,BALI,BALI
PALI,DESURI,DESURI
PALI,JAIT ARAN,JAITARAN
PALI,JAITARAN,JAITARAN
PALI,KHARCHI (M.JUNC),KHARCHI(MAR.JUN)
PALI,MARWAR Jn.,KHARCHI(MAR.JUN)
PALI,MARWAR JN.,KHARCHI(MAR.JUN)
PALI,MARWAR JUN,KHARCHI(MAR.JUN)
PALI,MARWARJUNCTION,KHARCHI(MAR.JUN)
PALI,P ALI,PALI
PALI,PALI,PALI
PALI,RAIPUR,RAIPUR
PALI,RANI,RANI STATION
PALI,RANI STATION,RANI STATION
PALI,ROHAT,ROHAT
PALI,SOJAT,SOJAT
PALI,SOJAT CITY,SOJAT
PALI,SUMERPUR,SUMERPUR
PRATAPGARH,ARNOD,ARNOD
PRATAPGARH,CHHOTISADRI,CHHOTI SADRI
PRATAPGARH,CHOTI SADRI,CHHOTI SADRI
PRATAPGARH,DALOT,DALOT
PRATAPGARH,DHAMOTAR,DHAMOTAR
PRATAPGARH,DHARIAW AD,DHARIAWAD
PRATAPGARH,DHARIAWAD,DHARIAWAD
PRATAPGARH,DHRIABAD,DHARIAWAD
PRATAPGARH,PEEP ALKHOONT,PEEPAL KHOONT
PRATAPGARH,PEEPALKHOONT,PEEPAL KHOONT
PRATAPGARH,PIP ALKHUNT,PEEPAL KHOONT
PRATAPGARH,PIPALKHUNT,PEEPAL KHOONT
PRATAPGARH,PRA T APGARH,PRATAPGARH
PRATAPGARH,PRATAPGARH,PRATAPGARH
PRATAPGARH,SUHAGPURA,SUHAGPURA
RAJSAMAND,AMET,AMET
RAJSAMAND,BHIM,BHIM
RAJSAMAND,DELVADA,DELWADA
RAJSAMAND,DEOGARH,DEOGARH
RAJSAMAND,KHAMNOR,KHAMNOR
RAJSAMAND,KHAMNORE,KHAMNOR
RAJSAMAND,KUMBHALGARH,KUMBHALGARH
RAJSAMAND,RAILMAGRA,RAILMAGRA
RAJSAMAND,RAJSAMAND,RAJSAMAND
SAWAIMADHOPUR,BAMANW AS,BAMANWAS
SAWAIMADHOPUR,BAMANWAS,BAMANWAS
SAWAIMADHOPUR,BONLI,BONLI
SAWAIMADHOPUR,CHOUTH KA BARWADA,CHAUTH KA BARWARA
SAWAIMADHOPUR,CHOUTHKABARWADA,CHAUTH KA BARWARA
SAWAIMADHOPUR,GANGAPUR,GANGAPUR CITY
SAWAIMADHOPUR,GANGAPURCITY,GANGAPUR CITY
SAWAIMADHOPUR,KHANDAR,KHANDAR
SAWAIMADHOPUR,MALARNA DUNGAR,MALARNA DUNGAR
SAWAIMADHOPUR,MALARNADUNGAR,MALARNA DUNGAR
SAWAIMADHOPUR,S. MADHOPUR,SAWAI MADHOPUR
SAWAIMADHOPUR,S.MADHOPUR,SAWAI MADHOPUR
SAWAIMADHOPUR,SAWAI MADHOPUR,SAWAI MADHOPUR
SAWAIMADHOPUR,SAWAIMADHOPUR,SAWAI MADHOPUR
SAWAI MADHOPUR,BAMANW AS,BAMANWAS
SAWAI MADHOPUR,BAMANWAS,BAMANWAS
SAWAI MADHOPUR,BONLI,BONLI
SAWAI MADHOPUR,CHOUTH KA BARWADA,CHAUTH KA BARWARA
SAWAI MADHOPUR,CHOUTHKABARWADA,CHAUTH KA BARWARA
SAWAI MADHOPUR,GANGAPUR,GANGAPUR CITY
SAWAI MADHOPUR,GANGAPURCITY,GANGAPUR CITY
SAWAI MADHOPUR,KHANDAR,KHANDAR
SAWAI MADHOPUR,MALARNA DUNGAR,MALARNA DUNGAR
SAWAI MADHOPUR,MALARNADUNGAR,MALARNA DUNGAR
SAWAI MADHOPUR,S. MADHOPUR,SAWAI MADHOPUR
SAWAI MADHOPUR,S.MADHOPUR,SAWAI MADHOPUR
SAWAI MADHOPUR,SAWAI MADHOPUR,SAWAI MADHOPUR
SAWAI MADHOPUR,SAWAIMADHOPUR,SAWAI MADHOPUR
SIKAR,AJITGARH,AJEETGARH
SIKAR,DANT ARAMGARH,DANTA RAMGARH
SIKAR,DANTA RAMGARH,DANTA RAMGARH
SIKAR,DANTARAMGARH,DANTA RAMGARH
SIKAR,DHOD,DHOD
SIKAR,DHOND,DHOD
SIKAR,FATEHPUR,FATEHPUR
SIKAR,KHANDELA,KHANDELA
SIKAR,LACHHMANGARH,LACHHMANGARH
SIKAR,LAXMANGARH,LACHHMANGARH
SIKAR,NECHWA,NECHWA
SIKAR,NEEM KA THANA,NEEM KA THANA
SIKAR,NEEMKA THANA,NEEM KA THANA
SIKAR,NEEMKATHANA,NEEM KA THANA
SIKAR,PALSANA,PALSANA
SIKAR,PATAN,PATAN
SIKAR,PIPRALI,PIPRALI
SIKAR,SRIMADHOPUR,SRI MADHOPUR
SIROHI,ABU ROAD,ABU ROAD
SIROHI,ABUROAD,ABU ROAD
SIROHI,PINDW ARA,PINDWARA
SIROHI,PINDWARA,PINDWARA
SIROHI,REODAR,REODAR
SIROHI,SHEOGANJ,SHEOGANJ
SIROHI,SHIVGANJ,SHEOGANJ
SIROHI,SIROHI,SIROHI
TONK,DEOLI,DEOLI
TONK,MALPURA,MALPURA
TONK,NEWAI,NEWAI
TONK,NIW AI,NEWAI
TONK,NIWAI,NEWAI
TONK,PIPLU,PEEPLU
TONK,TODARAISINGH,TODARAISINGH
TONK,TONK,TONK
TONK,UNIARA,UNIARA
TONK,UNIYARA,UNIARA
UDAIPUR,BADGAON,BARGAON
UDAIPUR,BARGAON,BARGAON
UDAIPUR,BHINDER,BHINDER
UDAIPUR,BHINDAR,BHINDER
UDAIPUR,DHARIYAWAD,DHARIAWAD
UDAIPUR,GIRW A,GIRWA
UDAIPUR,GIRWA,GIRWA
UDAIPUR,GOGUNDA,GOGUNDA
UDAIPUR,HRUSHABHDEV,RISHBHDEO
UDAIPUR,JAYSAMAND,JAISAMAND
UDAIPUR,JHADOL,JHADOL
UDAIPUR,JHALLARA,JHALLARA
UDAIPUR,KHERW ADA,KHERWARA
UDAIPUR,KHERW ARA,KHERWARA
UDAIPUR,KHERWADA,KHERWARA
UDAIPUR,KHERWARA,KHERWARA
UDAIPUR,KOTDA,KOTRA
UDAIPUR,KOTRA,KOTRA
UDAIPUR,KURABAD,KURABAD
UDAIPUR,LASADIA,LASADIYA
UDAIPUR,LASADIYA,LASADIYA
UDAIPUR,MAVLI,MAVLI
UDAIPUR,MAWALI,MAVLI
UDAIPUR,NAYAGAON,NAYAGAON
UDAIPUR,PHALASIY A,PHALASIYA
UDAIPUR,PHALASIYA,PHALASIYA
UDAIPUR,SALUMBER,SALUMBAR
UDAIPUR,SALUMBAR,SALUMBAR
UDAIPUR,SARADA,SARADA
