district_std,samiti_raw,samiti_std
BIKANER,DUNGARGARH,DUNGARGARH
BIKANER,KOLAYAT,KOLAYAT
BIKANER,LOONKARANSAR,LUNKARANSAR
BIKANER,NOKHA,NOKHA
BUNDI,HINDOLI,HINDOLI
BUNDI,K. PATAN,KESHORAIPATAN
BUNDI,NAINWA,NAINWA
BUNDI,TALERA,TALERA
CHITTORGARH,ARNOD,ARNOD
CHITTORGARH,BADI SADRI,BARISADRI
CHITTORGARH,BEGUN,BEGUN
CHITTORGARH,BHADESAR,BHADESAR
CHITTORGARH,BHENSRODGARH,BHAINSRORGARH
CHITTORGARH,BHUPAL SAGAR,BHOPALSAGAR
CHITTORGARH,CHHOTI SADARI,CHHOTISADRI
CHITTORGARH,CHITTORGARH,CHITTORGARH
CHITTORGARH,DUNGLA,DUNGLA
CHITTORGARH,GANGRAR,GANGRAR
CHITTORGARH,KAPASAN,KAPASAN
CHITTORGARH,NIMBAHERA,NIMBAHERA
CHITTORGARH,PRATAPGARH,PRATAPGARH
CHITTORGARH,RASHMI,RASHMI
CHURU,CHURU,CHURU
CHURU,RAJGARH,RAJGARH
CHURU,RATANGARH,RATANGARH
CHURU,SARDARSHAHAR,SARDARSHAHAR
CHURU,SUJANGARH,SUJANGARH
CHURU,TARANAGAR,TARANAGAR
DAUSA,BANDIKUI,BANDIKUI
DAUSA,DAUSA,DAUSA
DAUSA,LALSOT,LALSOT
DAUSA,MAHUWA,MAHUWA
DAUSA,SIKRAI,SIKRAI
DHOLPUR,BARI,BARI
DHOLPUR,BASERI,BASERI
DHOLPUR,DHOLPUR,DHOLPUR
DHOLPUR,RAJAKHERA,RAJAKHERA
DUNGARPUR,ASPUR,ASPUR
DUNGARPUR,BICHCHIWARA,BICHIWARA
DUNGARPUR,DUNGERPUR,DUNGARPUR
DUNGARPUR,SAGWARA,SAGWARA
DUNGARPUR,SIMALWARA,SIMALWARA
GANGANAGAR,ANOOPGARH,ANUPGARH
GANGANAGAR,GANGANAGAR,GANGANAGAR
GANGANAGAR,KARANPUR,KARANPUR
GANGANAGAR,PADAMPUR,PADAMPUR
GANGANAGAR,RAISINGHNAGAR,RAISINGHNAGAR
GANGANAGAR,SADULSHAHAR,SADULSHAHAR
GANGANAGAR,SURATGARH,SURATGARH
HANUMANGARH,BHADRA,BHADRA
HANUMANGARH,HANUMANGARH,HANUMANGARH
HANUMANGARH,NOHAR,NOHAR
JAIPUR,AMER,AMER
JAIPUR,BASSI,BASSI
JAIPUR,CHAKSU,CHAKSU
JAIPUR,DUDU,DUDU
JAIPUR,GOVINDGARH,GOVINDGARH
JAIPUR,JAMWARAMGARH,JAMWARAMGARH
JAIPUR,JHOTWARA,JHOTWARA
JAIPUR,KOTPUTLI,KOTPUTLI
JAIPUR,PHAGI,PHAGI
JAIPUR,SAMBHAR,SAMBHARLAKE
JAIPUR,SANGANER,SANGANER
JAIPUR,SHAHPURA,SHAHPURA
JAIPUR,VIRATNAGAR,VIRATNAGAR
JAISALMER,JAISALMER,JAISALMER
JAISALMER,SAM,SAM
JAISALMER,SANKARA,SANKRA
JALORE,AHORE,AHORE
JALORE,BHINMAL,BHINMAL
JALORE,JALORE,JALORE
JALORE,JASWANTPURA,JASWANTPURA
JALORE,RANIWARA,RANIWARA
JALORE,SANCHORE,SANCHORE
JALORE,SAYALA,SAYLA
JHALAWAR,BAKANI,BAKANI
JHALAWAR,DAG,DUG
JHALAWAR,JHALRAPATAN,JHALRAPATAN
JHALAWAR,KHANPUR,KHANPUR
JHALAWAR,MANOHAR THANA,MANOHARTHANA
JHALAWAR,PIRAWA,PIRAWA
JHUNJHUNU,ALSISAR,ALSISAR
JHUNJHUNU,BUHANA,BUHANA
JHUNJHUNU,CHIRAWA,CHIRAWA
JHUNJHUNU,JHUNJHUNU,JHUNJHUNU
JHUNJHUNU,KHETRI,KHETRI
JHUNJHUNU,NAWALGARH,NAWALGARH
JHUNJHUNU,SURAJGARH,SURAJGARH
JHUNJHUNU,UDAIPURWATI,UDAIPURWATI
JODHPUR,BALESAR,BALESAR
JODHPUR,BAP,BAP
JODHPUR,BHOPALGARH,BHOPALGARH
JODHPUR,BILARA,BILARA
JODHPUR,LUNI,LUNI
JODHPUR,MANDORE,MANDORE
JODHPUR,OSIYAN,OSIYAN
JODHPUR,PHALODI,PHALODI
JODHPUR,SHERGARH,SHERGARH
KARAULI,HINDAUN,HINDAUN
KARAULI,KARAULI,KARAULI
KARAULI,NADOTI,NADOTI
KARAULI,SAPOTRA,SAPOTRA
KARAULI,TODABHIM,TODABHIM
KOTA,ITAWA,ITAWA
KOTA,KHAIRABAD,KHAIRABAD
KOTA,LADPURA,LADPURA
KOTA,SANGOD,SANGOD
KOTA,SULTANPUR,SULTANPUR
NAGAUR,DEGANA,DEGANA
NAGAUR,DIDWANA,DIDWANA
NAGAUR,JAYAL,JAYAL
NAGAUR,KUCHAMAN,KUCHAMAN
NAGAUR,LADNUN,LADNU
NAGAUR,MAKRANA,MAKRANA
NAGAUR,MERTA,MERTA
NAGAUR,MUNDWA,MUNDWA
NAGAUR,NAGAUR,NAGAUR
NAGAUR,PARBATSAR,PARBATSAR
NAGAUR,RIYAN,RIYAN
PALI,BALI,BALI
PALI,DESURI,DESURI
PALI,JAITARAN,JAITARAN
PALI,MARWAR JN.,MARWARJUNCTION
PALI,PALI,PALI
PALI,RAIPUR,RAIPUR
PALI,RANI,RANI
PALI,ROHAT,ROHAT
PALI,SOJAT CITY,SOJAT
PALI,SUMERPUR,SUMERPUR
RAJSAMAND,AMET,AMET
RAJSAMAND,BHIM,BHIM
RAJSAMAND,DEOGARH,DEOGARH
RAJSAMAND,KHAMNORE,KHAMNOR
RAJSAMAND,KUMBHALGARH,KUMBHALGARH
RAJSAMAND,RAILMAGRA,RAILMAGRA
RAJSAMAND,RAJSAMAND,RAJSAMAND
SAWAI MADHOPUR,BAMANWAS,BAMANWAS
SAWAI MADHOPUR,BONLI,BONLI
SAWAI MADHOPUR,GANGAPUR,GANGAPUR
SAWAI MADHOPUR,KHANDAR,KHANDAR
SAWAI MADHOPUR,S. MADHOPUR,SAWAIMADHOPUR
SIKAR,DANTARAMGARH,DANTARAMGARH
SIKAR,DHOD,DHOD
SIKAR,FATEHPUR,FATEHPUR
SIKAR,KHANDELA,KHANDELA
SIKAR,LAXMANGARH,LAXMANGARH
SIKAR,NEEM KA THANA,NEEMKATHANA
SIKAR,PIPRALI,PIPRALI
SIKAR,SRIMADHOPUR,SRIMADHOPUR
SIROHI,ABUROAD,ABUROAD
SIROHI,PINDWARA,PINDWARA
SIROHI,REODAR,REODAR
SIROHI,SHEOGANJ,SHIVGANJ
SIROHI,SIROHI,SIROHI
TONK,DEOLI,DEOLI
TONK,MALPURA,MALPURA
TONK,NEWAI,NIWAI
TONK,TODARAISINGH,TODARAISINGH
TONK,TONK,TONK
TONK,UNIYARA,UNIARA
UDAIPUR,BADGAON,BADGAON
UDAIPUR,BHINDER,BHINDER
UDAIPUR,DHARIYAWAD,DHARIAWAD
UDAIPUR,GIRWA,GIRWA
UDAIPUR,GOGUNDA,GOGUNDA
UDAIPUR,JHADOL,JHADOL
UDAIPUR,KHERWARA,KHERWARA
UDAIPUR,KOTDA,KOTDA
UDAIPUR,MAVLI,MAVLI
UDAIPUR,SALUMBER,SALUMBER
UDAIPUR,SARADA,SARADA
AJMER,ARAI,ARAI
AJMER,BHINAY,BHINAY
AJMER,JAW AJA,JAWAJA
AJMER,PEESANGAN,PEESANGAN
AJMER,SRINAGAR,SRINAGAR
ALWAR,MANDAWAR,MUNDAWAR
ALWAR,RENI,RAINI
ALWAR,UMREN,UMRAIN
BANSWARA,BANSW ARA,BANSWARA
BANSWARA,CHHOTI SARVAN,CHHOTISARVAN
BARAN,ANT AH,ANTA
BARAN,CHHIP ABAROD,CHHIPABAROD
BARAN,SHAHBAD,SHAHBAD
BARMER,BAYTOO,BAYTU
BARMER,CHOHT AN,CHAUHATAN
BARMER,DHORIMANNA,DHORIMANNA
BHARATPUR,RUPBAS,ROOPWAS
BHILWARA,SAHARA,SAHARA
BIKANER,KHAJUWALA,KHAJUWALA
BIKANER,LUNKARANSAR,LUNKARANSAR
BUNDI,BUNDI,BUNDI
BUNDI,KESHORAI PATAN,KESHORAIPATAN
BUNDI,NAINW A,NAINWA
CHITTORGARH,BARISADRI,BARISADRI
CHITTORGARH,BHAINSRORGARH,BHAINSRORGARH
CHITTORGARH,BHOPALSAGAR,BHOPALSAGAR
CHITTORGARH,CHHITORGARH,CHITTORGARH
CHITTORGARH,DUNGL A,DUNGLA
CHITTORGARH,KAP ASAN,KAPASAN
CHURU,SARDAR SHAHAR,SARDARSHAHAR
CHURU,T ARANAGAR,TARANAGAR
DAUSA,MAHWA,MAHUWA
DUNGARPUR,BICHHIW ARA,BICHIWARA
DUNGARPUR,DUNGARPUR,DUNGARPUR
DUNGARPUR,SAGW ARA,SAGWARA
GANGANAGAR,ANUPGARH,ANUPGARH
GANGANAGAR,GHADSANA,GHADSANA
HANUMANGARH,PILIBANGA,PILIBANGA
HANUMANGARH,RAWATSAR,RAWATSAR
HANUMANGARH,SANGARIYA,SANGARIYA
HANUMANGARH,TIBI,TIBBI
JAIPUR,AMBER,AMER
JAIPUR,JAMWA RAMGARH,JAMWARAMGARH
JAIPUR,JHOTW ARA,JHOTWARA
JAIPUR,SAMBHER,SAMBHARLAKE
JAISALMER,SANKRA,SANKRA
JALORE,CHITALWANA,CHITALWANA
JALORE,JASW ANTPURA,JASWANTPURA
JALORE,RANIW ARA,RANIWARA
JALORE,SAYLA,SAYLA
JHUNJHUNU,NAW ALGARH,NAWALGARH
JODHPUR,BAWARI,BAWARI
JODHPUR,MANDOR,MANDORE
JODHPUR,OSIAN,OSIYAN
NAGAUR,DIDW ANA,DIDWANA
NAGAUR,KUCHAMANCITY,KUCHAMAN
NAGAUR,LADNU,LADNU
NAGAUR,MUNDAWA,MUNDWA
PALI,JAIT ARAN,JAITARAN
PALI,KHARCHI (M.JUNC),MARWARJUNCTION
PALI,P ALI,PALI
PALI,RANI STATION,RANI
PALI,SOJAT,SOJAT
PRATAPGARH,ARNOD,ARNOD
PRATAPGARH,CHHOTISADRI,CHHOTISADRI
PRATAPGARH,DHARIAW AD,DHARIAWAD
PRATAPGARH,PEEP ALKHOONT,PIPALKHUNT
PRATAPGARH,PRATAPGARH,PRATAPGARH
RAJSAMAND,KHAMNOR,KHAMNOR
SAWAI MADHOPUR,BAMANW AS,BAMANWAS
SAWAI MADHOPUR,S.MADHOPUR,SAWAIMADHOPUR
SIKAR,DANTA RAMGARH,DANTARAMGARH
SIKAR,DHOND,DHOD
SIKAR,LACHHMANGARH,LAXMANGARH
SIROHI,PINDW ARA,PINDWARA
TONK,NIWAI,NIWAI
TONK,UNIARA,UNIARA
UDAIPUR,BARGAON,BADGAON
UDAIPUR,BHINDAR,BHINDER
UDAIPUR,GIRW A,GIRWA
UDAIPUR,KHERW ARA,KHERWARA
UDAIPUR,KOTRA,KOTDA
UDAIPUR,LASADIYA,LASADIYA
UDAIPUR,SALUMBAR,SALUMBER
BIKANER,KHAJUW ALA,KHAJUWALA
HANUMANGARH,H TIBBI,TIBBI
JAIPUR,SAMBHARLAKE,SAMBHARLAKE
BARMER,SHIV,SHIV
SIROHI,SHIVGANJ,SHIVGANJ
NAGAUR,MOULASAR,MOULASAR
HANUMANGARH,H NOHAR,NOHAR
JODHPUR,BAPINI,BAPINI
BARMER,KALYANPUR,KALYANPUR
JALORE,BHEENMAL,BHINMAL
AJMER,SARW AD,SARWAD
HANUMANGARH,H BHADRA,BHADRA
KOTA,KHERABAD,KHAIRABAD
PALI,MARWAR JUN,MARWARJUNCTION
NAGAUR,MUNDW A,MUNDWA
GANGANAGAR,SURA TGARH,SURATGARH
BANSWARA,ARA THUNA,ARATHUNA
PRATAPGARH,PIP ALKHUNT,PIPALKHUNT
DUNGARPUR,BICHIW ARA,BICHIWARA
JAIPUR,PAWATA,PAWATA
JODHPUR,LOHAWAT,LOHAWAT
GANGANAGAR,P ADAMPUR,PADAMPUR
HANUMANGARH,H PILIBANGA,PILIBANGA
GANGANAGAR,SHRI VIJAYNAGAR,SHRIVIJAYNAGAR
BARMER,RAMSAR,RAMSAR
BHARATPUR,P AHADI,PAHADI
BARMER,PATAUDI,PATAUDI
SIKAR,PATAN,PATAN
BANSWARA,GANGAD TALAI,GANGADTALAI
BARMER,GIDA,GIDA
JODHPUR,TINW ARI,TINWARI
PRATAPGARH,PRA T APGARH,PRATAPGARH
UDAIPUR,MAWALI,MAVLI
DUNGARPUR,CHIKHALI,CHIKHALI
CHITTORGARH,DOONGL A,DUNGLA
BARMER,CHAUHA T AN,CHAUHATAN
BARMER,GADRAROAD,GADRAROAD
GANGANAGAR,RAISNGHNAGAR,RAISINGHNAGAR
GANGANAGAR,SADULSAHAR,SADULSHAHAR
PRATAPGARH,DHRIABAD,DHARIAWAD
KARAULI,KAURALI,KARAULI
HANUMANGARH,H HANUMANGARH,HANUMANGARH
GANGANAGAR,SRI GANGANAGAR,SRIGANGANAGAR
JODHPUR,DECHU,DECHU
BARMER,SEDHAWA,SEDHAWA
BARMER,GUDHAMALANI,GUDHAMALANI
CHURU,BIDASAR,BIDASAR
HANUMANGARH,H RAWATSAR,RAWATSAR
DAUSA,MAHUW A,MAHUWA
CHITTORGARH,BHOP ALSAGAR,BHOPALSAGAR
ALWAR,KISHANGARHBAS,KISHANGARHBAS
BHARATPUR,VAIR,VAIR
UDAIPUR,KHERW ADA,KHERWARA
DUNGARPUR,GALIYA KOT,GALIYAKOT
SAWAI MADHOPUR,CHOUTH KA BARWADA,CHOUTHKABARWADA
BANSWARA,GADHI,GARHI
BUNDI,T ALERA,TALERA
BHARATPUR,SEW AR,SEWAR
BUNDI,K.PATAN,KESHORAIPATAN
JAISALMER,SANKDA,SANKRA
JODHPUR,PIPAR SHAHAR,PIPARSHAHAR
BANSWARA,TALWADA,TALWADA
JHALAWAR,DUG,DUG
JHALAWAR,PIDAWA,PIRAWA
JHALAWAR,AKALERA,AKLERA
JAIPUR,SAHAPURA,SAHAPURA
JAIPUR,JAMW ARAMGARH,JAMWARAMGARH
NAGAUR,NAVAN,NAVAN
BARMER,BAYATU,BAYTU
NAGAUR,KHINW ASAR,KHINWASAR
BIKANER,P ANCHU,PANCHU
BHILWARA,HURDA MANDAL,HURDAMANDAL
SIKAR,DANT ARAMGARH,DANTARAMGARH
JODHPUR,BHOP ALGARH,BHOPALGARH
SAWAI MADHOPUR,GANGAPURCITY,GANGAPUR
TONK,NIW AI,NIWAI
KARAULI,MANDRAYAL,MANDRAYAL
UDAIPUR,JHALLARA,JHALLARA
BARMER,SAMDADI,SAMDADI
BHILWARA,P AHADI,PAHADI
JODHPUR,SEKHALA,SEKHALA
DAUSA,LAWAN,LAWAN
PRATAPGARH,CHOTI SADRI,CHHOTISADRI
UDAIPUR,KURABAD,KURABAD
BANSWARA,ANADPURI,ANANDPURI
BARAN,ATARU,ATRU
SIKAR,NEEMKA THANA,NEEMKATHANA
SIROHI,ABU ROAD,ABUROAD
JHALAWAR,MANOHARTHANA,MANOHARTHANA
JHALAWAR,BHAVANI MANDI,BHAVANIMANDI
JHALAWAR,JHALRAP A T AN,JHALRAPATAN
JAIPUR,VIRA TNAGAR,VIRATNAGAR
HANUMANGARH,H SANGARIYA,SANGARIYA
DHOLPUR,SAIP AU,SAIPAU
NAGAUR,DEEDW ANA,DIDWANA
UDAIPUR,PHALASIY A,PHALASIYA
BARMER,DHANAU,DHANAU
DUNGARPUR,SABLA,SABLA
ALWAR,KA THUMAR,KATHUMAR
UDAIPUR,LASADIA,LASADIYA
UDAIPUR,SEMARI,SEMARI
ALWAR,RAINI,RAINI
BARMER,SIW ANA,SIWANA
DUNGARPUR,DOVADA,DOVADA
JAIPUR,JALSU,JALSU
UDAIPUR,SAYARA,SAYARA
BARAN,ANT A,ANTA
DUNGARPUR,JOTHALI,JOTHALI
UDAIPUR,HRUSHABHDEV,HRUSHABHDEV
BHILWARA,BIJAULIYA,BIJAULIYA
BHARATPUR,PAHADI,PAHADI
AJMER,SARWAD,SARWAD
DUNGARPUR,BICHIWARA,BICHIWARA
BIKANER,PANCHU,PANCHU
RAJSAMAND,DELVADA,DELVADA
JAIPUR,KISHANGARH RENWAL,KISHANGARHRENWAL
UDAIPUR,NAYAGAON,NAYAGAON
UDAIPUR,VALLABHNAGAR,VALLABHNAGAR
UDAIPUR,PHALASIYA,PHALASIYA
SIKAR,PALSANA,PALSANA
SIKAR,NEEMKATHANA,NEEMKATHANA
SIKAR,NECHWA,NECHWA
SIKAR,AJITGARH,AJITGARH
TONK,PIPLU,PIPLU
UDAIPUR,KHERWADA,KHERWARA
PRATAPGARH,PIPALKHUNT,PIPALKHUNT
SAWAI MADHOPUR,MALARNA DUNGAR,MALARNADUNGAR
NAGAUR,DEEDWANA,DIDWANA
NAGAUR,KHINWASAR,KHINWASAR
BARMER,CHAUHATAN,CHAUHATAN
AJMER,AJMER RURAL,AJMERRURAL
JODHPUR,CHAMU,CHAMU
JALORE,SARNAU,SARNAU
JODHPUR,AAU,AAU
JAISALMER,MOHANGARH,MOHANGARH
JAISALMER,BHANIYANA,BHANIYANA
JAISALMER,NACHNA,NACHNA
JAISALMER,FATEHGARH,FATEHGARH
JHUNJHUNU,SINGHANA,SINGHANA
BARMER,AADEL,AADEL
HANUMANGARH,TIBBI,TIBBI
JAIPUR,MOZAMABAD,MOZAMABAD
JAIPUR,JALASU,JALSU
DHOLPUR,SARMATHURA,SARMATHURA
DHOLPUR,SAIPAU,SAIPAU
DAUSA,BASWA,BASWA
BHILWARA,KAREDA,KAREDA
CHITTORGARH,DOONGLA,DUNGLA
BHARATPUR,UCHHAIN,UCHHAIN
BARMER,PAYALA KALAN,PAYALAKALAN
BARMER,FAGLIYA,FAGLIYA
BARMER,BARMER RURAL,BARMERRURAL
BHARATPUR,BHUSAWAR,BHUSAWAR
BANSWARA,GANGADTALAI,GANGADTALAI
BARAN,MANGROL,MANGROL
BANSWARA,BANSWARA,BANSWARA
BANSWARA,ARATHUNA,ARATHUNA
ALWAR,MALAKHEDA,MALAKHEDA
ALWAR,GOVINDGARH,GOVINDGARH
KARAULI,SHRIMHAVEERJI,SHRIMHAVEERJI
JAIPUR,TUNGA,TUNGA
JODHPUR,PIPAR SAHAR,PIPARSHAHAR
AJMER,SAWAR,SARWAD
BIKANER,PUGAL,PUGAL
BIKANER,BAJJU (BAJJU KHALSA),BAJJU(BAJJUKHALSA)
KARAULI,MASALPUR,MASALPUR
UDAIPUR,JAYSAMAND,JAYSAMAND
JAIPUR,MADHORAJPUR,MADHORAJPUR
JAIPUR,JOBNER,JOBNER
JAIPUR,KOTKHAWADA,KOTKHAWADA
JAIPUR,AANDHII,AANDHI
PRATAPGARH,DHAMOTAR,DHAMOTAR
PRATAPGARH,DALOT,DALOT
PRATAPGARH,SUHAGPURA,SUHAGPURA
JODHPUR,TINWARI,TINWARI
JHUNJHUNU,PILANI,PILANI
JALORE,BAGODA,BAGODA
NAGAUR,BHAIRUNDA,BHAIRUNDA
JHUNJHUNU,MANDAWA,MANDAWA
JODHPUR,GHANTIYALI,GHANTIYALI
JODHPUR,DHAVA,DHAVA
JODHPUR,KERU,KERU
BHILWARA,BADNOR,BADNOR
DAUSA,NANGAL RAJAWATAN,NANGALRAJAWATAN
DAUSA,RAMGARH PACHWARA,RAMGARHPACHWARA
DAUSA,BAIJUPADA,BAIJUPADA
DAUSA,SIKANDRA,SIKANDRA
