order,gp_name,gp_villages,panchayat_samiti,district,verified_or_not,gp_name_goog_translate,gp_village_goog_translate,ps_goog_translate
187,_______,______ __ ______,_____,ajmer,1,nayagaon,amarsih's badia,masuda
188,_______,________ __ ______,_____,ajmer,1,nayagaon,peethmaka badia,masuda
189,_______,_______,_____,ajmer,1,nayagaon,chaudasia,masuda
190,_____,_____,_____,ajmer,1,lulwa,lulwa,masuda
191,_____,_______ __ ______,_____,ajmer,1,lulwa,faid of faunch,masuda
192,_____,____ _______ ( ___ ____ ),_____,ajmer,1,lulwa,wind chaudasia (non -populated),masuda
193,_________,_________,_____,ajmer,1,harrajpura,harrajpura,masuda
194,_________,_____ _____,_____,ajmer,1,harrajpura,landi bassi,masuda
195,_________,_____,_____,ajmer,1,harrajpura,children,masuda
196,_________,_______,_____,ajmer,1,harrajpura,chakmasuda,masuda
197,_________,_____,_____,ajmer,1,harrajpura,done,masuda
198,_______,_______,_____,ajmer,1,devpura,devpura,masuda
199,_______,________,_____,ajmer,1,devpura,surajpura,masuda
200,_______,________,_____,ajmer,1,devpura,guwadia,masuda
201,_______,______ __ ____,_____,ajmer,1,devpura,danaji ki dhani,masuda
202,_______,_______,_____,ajmer,1,devpura,rampura,masuda
203,_______,______,_____,ajmer,1,devpura,madhogadh,masuda
204,_____,_____,_____,ajmer,1,myla,myla,masuda
205,_____,_____,_____,ajmer,1,myla,nagli,masuda
206,_____,_____,_____,ajmer,1,myla,nasoon,masuda
207,_____,________,_____,ajmer,1,myla,devamangari,masuda
208,_____,________,_____,ajmer,1,myla,mohanpura,masuda
209,_____,_______,_____,ajmer,1,myla,jaitpura,masuda
210,_____,________,_____,ajmer,1,myla,motipura,masuda
211,______,______,_____,ajmer,1,jamola,jamola,masuda
212,______,______ ______,_____,ajmer,1,jamola,jalia jamola,masuda
213,______,_____,_____,ajmer,1,jamola,adade,masuda
214,______,________,_____,ajmer,1,jamola,daulatpura,masuda
215,________,________,_____,ajmer,1,savatadia,savatadia,masuda
216,________,_______,_____,ajmer,1,savatadia,jalakheda,masuda
217,________,_______,_____,ajmer,1,savatadia,nayagaon,masuda
218,________,_________,_____,ajmer,1,savatadia,chavandia,masuda
219,________,_______,_____,ajmer,1,savatadia,sathalia,masuda
220,________,______,_____,ajmer,1,savatadia,karya,masuda
221,________,_________,_____,ajmer,1,savatadia,ganeshmangari,masuda
222,_____,_____,_____,ajmer,1,ramgarh,ramgarh,masuda
223,_____,______,_____,ajmer,1,ramgarh,shivnagar,masuda
224,_____,_____,_____,ajmer,1,ramgarh,antaol,masuda
225,_____,_____,_____,ajmer,1,dewas,dewas,masuda
226,_____,_______,_____,ajmer,1,dewas,ladpura,masuda
227,_____,_______,_____,ajmer,1,dewas,dedpura,masuda
228,_____,______,_____,ajmer,1,dewas,bear,masuda
229,_____,___ __ ______,_____,ajmer,1,dewas,rail badia,masuda
230,_____,_______,_____,ajmer,1,dewas,amarpura,masuda
231,_____,________ _____,_____,ajmer,1,dewas,rupahali khurd,masuda
232,________ _______,________ __,_____,ajmer,1,daulatpura ii,daulatpura.,masuda
233,________ _______,________,_____,ajmer,1,daulatpura ii,kesarpura,masuda
234,________ _______,_______,_____,ajmer,1,daulatpura ii,kanpura,masuda
235,________ _______,__________ __,_____,ajmer,1,daulatpura ii,pratappura.,masuda
236,________ _______,_____,_____,ajmer,1,daulatpura ii,topas,masuda
237,________ _______,________,_____,ajmer,1,daulatpura ii,surajpura,masuda
238,________ _______,_______,_____,ajmer,1,daulatpura ii,renpura,masuda
239,________ _______,_______,_____,ajmer,1,daulatpura ii,amarpura,masuda
240,_____,_____,_____,ajmer,1,moyna,moyna,masuda
241,_____,______,_____,ajmer,1,moyna,ratangarh,masuda
242,_____,________,_____,ajmer,1,moyna,bhairukheda,masuda
243,_____,_______,_____,ajmer,1,moyna,sabalpura,masuda
244,_____,_______,_____,ajmer,1,moyna,rampura,masuda
245,_____,____,_____,ajmer,1,moyna,gudha,masuda
246,_____,_______,_____,ajmer,1,moyna,manpura,masuda
247,_____,_______,_____,ajmer,1,moyna,table,masuda
248,_____,________,_____,ajmer,1,moyna,kashipura,masuda
249,_______,_______,_____,ajmer,1,devamali,devamali,masuda
250,_______,_______,_____,ajmer,1,devamali,lalawas,masuda
251,_______,_______,_____,ajmer,1,devamali,devpura,masuda
252,_______,_________,_____,ajmer,1,devamali,bhagwanpura,masuda
253,_______,____,_____,ajmer,1,devamali,kelu,masuda
254,_______,________,_____,ajmer,1,devamali,sheopura,masuda
255,_______,_____,_____,ajmer,1,devamali,devgarh,masuda
256,_______,_______,_____,ajmer,1,devamali,pitivas,masuda
257,_____,_____,_____,ajmer,1,shergarh,shergarh,masuda
258,_____,______,_____,ajmer,1,shergarh,lamba,masuda
259,_____,______,_____,ajmer,1,shergarh,fatehgarh,masuda
260,_______,_______,_____,ajmer,1,hanutia,hanutia,masuda
261,_______,________,_____,ajmer,1,hanutia,ganeshpura,masuda
262,_______,________,_____,ajmer,1,hanutia,bhairukheda,masuda
263,_______,________,_____,ajmer,1,hanutia,dhanikheda,masuda
264,_______,________,_____,ajmer,1,hanutia,devipura,masuda
265,_______,________,_____,ajmer,1,hanutia,kashipura,masuda
266,_______,________,_____,ajmer,1,hanutia,karnipura,masuda
267,_______,________,_____,ajmer,1,hanutia,salaramala,masuda
268,_____,_____,_______,ajmer,1,pagara,pagara,pisangan
269,_____,______,_______,ajmer,1,pagara,ramnagar,pisangan
270,_____,______,_______,ajmer,1,pagara,devanagar,pisangan
271,_____,_________,_______,ajmer,1,pagara,richmalia,pisangan
272,_____,________,_______,ajmer,1,pagara,mewadia,pisangan
273,_____,________,_______,ajmer,1,pagara,kesarpura,pisangan
274,______,______,_______,ajmer,1,bhatsuri,bhatsuri,pisangan
275,______,____,_______,ajmer,1,bhatsuri,nad,pisangan
276,______,__________,_______,ajmer,1,bhatsuri,pratappura,pisangan
277,______,___________,_______,ajmer,1,bhatsuri,hanuwantpura,pisangan
278,______,__________,_______,ajmer,1,bhatsuri,bakhtavpura,pisangan
279,______,_____,_______,ajmer,1,bhatsuri,jetgarh,pisangan
280,_____,______,_______,ajmer,1,karanos,rupnagar,pisangan
281,_____,______,_______,ajmer,1,karanos,thoria,pisangan
282,_____,_____,_______,ajmer,1,karanos,ratangarh,pisangan
283,_____,________,_______,ajmer,1,karanos,daulatpura,pisangan
284,_____,________,_______,ajmer,1,karanos,dhuvadia,pisangan
285,_____,_______,_______,ajmer,1,karanos,shivpura,pisangan
286,_______,_________,_______,ajmer,1,ganahera,chavandia,pisangan
287,_______,______ ____,_______,ajmer,1,ganahera,pushkar nala,pisangan
288,____,______,_______,ajmer,1,khori,kanwalai,pisangan
289,____,______,_______,ajmer,1,khori,hocker,pisangan
290,____,_______,_______,ajmer,1,kanas,nadalia,pisangan
291,____,____ _____,_______,ajmer,1,kanas,leela sewadi,pisangan
292,_______,_______,_______,ajmer,1,nagelav,nagelav,pisangan
293,_______,_______,_______,ajmer,1,nagelav,alipura,pisangan
294,______,______,_______,ajmer,1,jethana,jethana,pisangan
295,______,_____,_______,ajmer,1,jethana,samla,pisangan
296,_______,______,______,ajmer,1,rampali,billia,sarwar
297,_______,________,______,ajmer,1,rampali,gundali,sarwar
298,_______,_______,______,ajmer,1,rampali,chandali,sarwar
299,_______,__________,______,ajmer,1,rampali,pratappura,sarwar
300,_______,_____,______,ajmer,1,rampali,ajgari,sarwar
301,_______,________,______,ajmer,1,rampali,surajpura,sarwar
302,_______,_____,______,ajmer,1,rampali,daurai,sarwar
303,_________,____,______,ajmer,1,bhagwanpura,chakwa,sarwar
304,_________,____,______,ajmer,1,bhagwanpura,chakvi,sarwar
305,_________,______,______,ajmer,1,bhagwanpura,arnia,sarwar
306,_________,_____,______,ajmer,1,bhagwanpura,mian,sarwar
307,_________,_______,______,ajmer,1,bhagwanpura,tajpura,sarwar
308,_________,_____,______,ajmer,1,bhagwanpura,print,sarwar
309,_________,______,______,ajmer,1,bhagwanpura,jagpura,sarwar
310,_______,_______,______,ajmer,1,satolav,sunodia,sarwar
311,_______,________,______,ajmer,1,satolav,dhigaria,sarwar
312,_______,________,______,ajmer,1,satolav,sanganer,sarwar
313,_______,_____,______,ajmer,1,satolav,jadana,sarwar
314,_______,_______,______,ajmer,1,satolav,khandra,sarwar
315,________,_______,______,ajmer,1,kabia,gudalia,sarwar
316,________,________,______,ajmer,1,kabia,motipura,sarwar
317,________,__________,______,ajmer,1,kabia,kalyanpura,sarwar
318,____,____,_______,ajmer,1,gegal,last,srinagar
319,____,_____,_______,ajmer,1,gegal,danta,srinagar
320,____,__________,_______,ajmer,1,gegal,chandiawas,srinagar
321,____,_____,_______,ajmer,1,gegal,jatley,srinagar
322,_____,_____,_______,ajmer,1,camel,camel,srinagar
323,_____,_____,_______,ajmer,1,camel,sarana,srinagar
324,________,______,_______,ajmer,1,kanakhedi,kaledi,srinagar
325,________,_______,_______,ajmer,1,kanakhedi,manpura,srinagar
326,________,_______,_______,ajmer,1,kanakhedi,rampura,srinagar
327,________,______,_______,ajmer,1,kanakhedi,ahiran,srinagar
328,________,_______,_______,ajmer,1,kanakhedi,jillvada,srinagar
329,______,_______,______,ajmer,1,buharu,rampura,kishangarh
330,___,________,______,ajmer,1,nelu,mundoti,kishangarh
331,___,_______,______,ajmer,1,nelu,noharia,kishangarh
332,___,__________,______,ajmer,1,nelu,kakaniawas,kishangarh
333,____,______,______,ajmer,1,harsal,bhilvat,kishangarh
334,________,______,______,ajmer,1,sinodia,shivnagar,kishangarh
335,________,_________,______,ajmer,1,sinodia,bakarwalia,kishangarh
336,________,__,______,ajmer,1,sinodia,aau,kishangarh
337,________,_____,______,ajmer,1,sinodia,gudha,kishangarh
338,_____,______,______,ajmer,1,kotdi,kardala,kishangarh
339,_____,_______,______,ajmer,1,kotdi,jakholai,kishangarh
340,_____,_____,______,ajmer,1,kotdi,ujoli,kishangarh
341,_____,________,______,ajmer,1,kotdi,kishanpura,kishangarh
342,_______,__ _______,______,ajmer,1,pinglod,chak pinglod,kishangarh
343,_______,________,______,ajmer,1,pinglod,testari,kishangarh
344,_______,_____ ______,______,ajmer,1,pinglod,paladi pathanan,kishangarh
345,_______,_______,______,ajmer,1,pinglod,rodawas,kishangarh
346,_______,________,______,ajmer,1,pinglod,motipura,kishangarh
347,_______,________,______,ajmer,1,pinglod,sagarmala,kishangarh
348,_______,__ ________,______,ajmer,1,pinglod,chak motipura,kishangarh
349,_____,__________,_____,ajmer,1,karati,pratappura,bhinay
350,_____,_______,_____,ajmer,1,karati,gowlia,bhinay
351,_____,____,_____,ajmer,1,karati,khedi,bhinay
352,_____,_________,_____,ajmer,1,karati,gopalpura,bhinay
353,_________,_______,_____,ajmer,1,chhachrandra,sederia,bhinay
354,_________,________,_____,ajmer,1,chhachrandra,daulatpura,bhinay
355,_________,_____,_____,ajmer,1,chhachrandra,saragav,bhinay
356,_________,_________,_____,ajmer,1,chhachrandra,gordhanpura,bhinay
357,_________,__________,_____,ajmer,1,chhachrandra,joravarpura,bhinay
358,_________,_______,_____,ajmer,1,chhachrandra,ratanpura,bhinay
359,_____,______,_____,ajmer,1,sobdi,telada,bhinay
360,_____,__________,_____,ajmer,1,sobdi,pratappura,bhinay
361,_____,_______,_____,ajmer,1,sobdi,rooppura,bhinay
362,_____,_________,_____,ajmer,1,sobdi,chavandia,bhinay
363,_____,_______,_____,ajmer,1,sobdi,jhabarkia,bhinay
364,_____,___,_____,ajmer,1,sobdi,dense,bhinay
365,_____,_______________,_____,ajmer,1,sobdi,kumhariyakheda,bhinay
366,________,________,_____,ajmer,1,ekin singh,hialia,bhinay
367,________,_______,_____,ajmer,1,ekin singh,banadia,bhinay
368,________,________,_____,ajmer,1,ekin singh,balapura,bhinay
369,________,____,_____,ajmer,1,ekin singh,dhani,bhinay
370,_________,_________,_____,ajmer,1,bandanwada,bandanwada,bhinay
371,_________,_____,_____,ajmer,1,bandanwada,bagrai,bhinay
372,_________,________,_____,ajmer,1,bandanwada,surajpura,bhinay
373,__________,_____,_____,ajmer,1,kumhariya,kitop,bhinay
374,_________,________,_____,ajmer,1,rammalia,raghunathgarh,bhinay
375,_________,______,_____,ajmer,1,rammalia,piloda,bhinay
376,_______,___________,_____,ajmer,1,dhantol,udaigarhkheda,bhinay
377,_______,__________,_____,ajmer,1,dhantol,gurjarwada,bhinay
378,_______,________,_____,ajmer,1,dhantol,hirarapura,bhinay
379,______,________,_____,ajmer,1,padanga,sawaipura,bhinay
380,______,_______,_____,ajmer,1,padanga,rampura,bhinay
381,______,_______,_____,ajmer,1,padanga,devpura,bhinay
382,______,_________,_____,ajmer,1,padanga,gajjadadi,bhinay
383,______,_______,_____,ajmer,1,padanga,rooppura,bhinay
384,______,________,_____,ajmer,1,padanga,motipura,bhinay
385,______,________,_____,ajmer,1,padanga,motipura,bhinay
386,______,_____,_____,ajmer,1,padanga,amargarh,bhinay
387,_____,________,______,alwar,1,babyi,dangiwas,bansur
388,_____,___ _____,______,alwar,1,babyi,basai chauhan,bansur
389,_____,_______,______,alwar,1,babyi,bhedivas,bansur
390,_____,____,______,alwar,1,babyi,jheda,bansur
391,_____,_________,______,alwar,1,babyi,israkabas,bansur
392,_____,_______,______,alwar,1,gunta,meerapur,bansur
393,_____,_____,______,alwar,1,gunta,mother,bansur
394,______,______,______,alwar,1,shahpur,ramnagar,bansur
395,______,_________,______,alwar,1,shahpur,sad,bansur
396,______,_____,______,alwar,1,shahpur,ospur,bansur
397,_________,________,______,alwar,1,gyanpura,basagaudhan,bansur
398,_________,_____ _____,______,alwar,1,gyanpura,kharkhadi khurd,bansur
399,_________,_____,______,alwar,1,gyanpura,basdi,bansur
400,_________,______,______,alwar,1,gyanpura,burja,bansur
401,_________,___,______,alwar,1,gyanpura,cool,bansur
402,_________,____,______,alwar,1,gyanpura,kharwa,bansur
403,_________,____,______,alwar,1,gyanpura,pali,bansur
404,_______,___ ______,______,alwar,1,basadayal,bas karnavat,bansur
405,_______,___ ______,______,alwar,1,basadayal,bas shekhawat,bansur
406,_______,__________,______,alwar,1,basadayal,narsinghpura,bansur
407,_______,______ ___,______,alwar,1,girudi,mandija basai,bansur
408,_______,______,______,alwar,1,girudi,girudi,bansur
409,_______,________,______,alwar,1,girudi,indrada,bansur
410,_______,_______,______,alwar,1,girudi,ghasinagar,bansur
411,______,_______,______,alwar,1,nayabas,lalpura,bansur
412,______,______,______,alwar,1,nayabas,turana,bansur
413,______,______,______,alwar,1,nayabas,nayanagar,bansur
414,______,______,______,alwar,1,nayabas,mandali,bansur
415,______,_______,______,alwar,1,nayabas,chanpura,bansur
416,______,______,______,alwar,1,nayabas,kundali,bansur
417,_______,_________,______,alwar,1,bamanwas,bhuriawas,bansur
418,_______,_________,______,alwar,1,bamanwas,kishorepura,bansur
419,_______,______,______,alwar,1,bamanwas,talwas,bansur
420,_______,_______,______,alwar,1,bamanwas,bamanwas,bansur
