current_gp_name,old_gp_villages,old_gp_village_fixed,district,ps,order,gp_goog_translate,gp_village_goog_translate,ps_goog_translate,gp_village_fixed
गोरधां,शोकियाखेडा,शोकियाखेडा,ajmer,केकडी,27,Loading...,shokiakheda,Loading...,
गोरधां,आमली,आमली,ajmer,केकडी,28,Loading...,amali,Loading...,
गोरधां,मेहरूखुर्द,मेहरूखुर्द,ajmer,केकडी,29,Loading...,mehrukhurd,Loading...,
गोरधां,चिकलिया,चिकलिया,ajmer,केकडी,30,Loading...,chiklia,Loading...,
मेहरूकला,मेहरूकंला,मेहरूकंला,ajmer,केकडी,31,mehrukala,mehrukanla,Loading...,
मेहरूकला,नयागांव मालियों का,नयागांव मालियों का,ajmer,केकडी,32,mehrukala,nayagaon mali,Loading...,
मेहरूकला,बालापुरा,बालापुरा,ajmer,केकडी,33,mehrukala,balapura,Loading...,
कनेईकला,काचरिया,काचरिया,ajmer,भिनाय,34,kaneyakala,kacharia,bhinay,
कनेईकला,कनेईकला,कनेईकला,ajmer,भिनाय,35,kaneyakala,kaneyakala,bhinay,
कनेईकला,कनेईखुर्द,कनेईखुर्द,ajmer,भिनाय,36,kaneyakala,kanaikhurd,bhinay,
कनेईकला,धान्धा का खेडा,धान्धा का खेडा,ajmer,भिनाय,37,kaneyakala,dhanadha's kheda,bhinay,
कनेईकला,लक्ष्मीपुरा,लक्ष्मीपुरा,ajmer,भिनाय,38,kaneyakala,laxmipura,bhinay,
कनेईकला,नीमेडा,नीमेडा,ajmer,भिनाय,39,kaneyakala,nemeda,bhinay,
नान्दसी,नान्दसी,नान्दसी,ajmer,भिनाय,40,nandasi,nandasi,bhinay,
नान्दसी,कुरथल,कुरथल,ajmer,भिनाय,41,nandasi,kurathal,bhinay,
रसूलपुरा,रसूलपुरा,रसूलपुरा,ajmer,श्रीनगर,42,rasulpura,rasulpura,Loading...,
रसूलपुरा,मदारपुरा,मदारपुरा,ajmer,श्रीनगर,43,rasulpura,madarpura,srinagar,
नून्द्री महेन्द्रातान,नून्द्री महेन्द्रातान,नून्द्री महेन्द्रातान,ajmer,जवाजा ,44,nundri mahendratan,nundri mahendratan,jawaja,
नून्द्री महेन्द्रातान,भीलातोंका बाडिया,भीलातोंका बाडिया,ajmer,जवाजा ,45,nundri mahendratan,bheelat's badia,jawaja,
नून्द्री महेन्द्रातान,सिरोला,सिरोला,ajmer,जवाजा ,46,nundri mahendratan,sirola,jawaja,
नून्द्री महेन्द्रातान,रतनपुरा सरदारा,रतनपुरा सरदारा,ajmer,जवाजा ,47,nundri mahendratan,ratanpura sardara,jawaja,
नून्द्री महेन्द्रातान,फतहपुरिया ग्रामीण,फतहपुरिया ग्रामीण,ajmer,जवाजा ,48,nundri mahendratan,fatehpuria rural,jawaja,
नून्द्री महेन्द्रातान,ठीकराना महेन्द्रतान,ठीकराना महेन्द्रतान,ajmer,जवाजा ,49,nundri mahendratan,thakrana mahendratan,jawaja,
नून्द्री महेन्द्रातान,छापरों का बाडिया,छापरों का बाडिया,ajmer,जवाजा ,50,nundri mahendratan,printing badia,jawaja,
नून्द्री महेन्द्रातान,डूंगरखेडा,डूंगरखेडा,ajmer,जवाजा ,51,nundri mahendratan,dungarkheda,jawaja,
नून्द्री महेन्द्रातान,शोभापुरा,शोभापुरा,ajmer,जवाजा ,52,nundri mahendratan,shobhapura,jawaja,
नून्द्री महेन्द्रातान,मेडिया,मेडिया,ajmer,जवाजा ,53,nundri mahendratan,media,jawaja,
नून्द्री महेन्द्रातान,रामपुरामे वातियान,रामपुरामे वातियान,ajmer,जवाजा ,54,nundri mahendratan,rampuramme vaiyan,jawaja,
जालिया प्रथम,जालिया प्रथम,जालिया प्रथम,ajmer,जवाजा ,55,jalia first,jalia first,jawaja,
जालिया प्रथम,बाडिया श्यामा,बाडिया श्यामा,ajmer,जवाजा ,56,jalia first,badia shyama,jawaja,
जालिया प्रथम,बाडिया जग्गा,बाडिया जग्गा,ajmer,जवाजा ,57,jalia first,badia jagga,jawaja,
जालिया प्रथम,रामसर बलाईयान,रामसर बलाईयान,ajmer,जवाजा ,58,jalia first,ramsar balaiyan,jawaja,
जालिया प्रथम,मालीपुरा,मालीपुरा,ajmer,जवाजा ,59,jalia first,malipura,jawaja,
जालिया प्रथम,सोवनिया,सोवनिया,ajmer,जवाजा ,60,jalia first,sowania,jawaja,
जालिया प्रथम,खेजडला,खेजडला,ajmer,जवाजा ,61,jalia first,khejdla,jawaja,
जालिया प्रथम,बनेवडी,बनेवडी,ajmer,जवाजा ,62,jalia first,baniwadi,jawaja,
किराप,किराप,किराप,ajmer,मसूदा ,63,kirap,kirap,masuda,
किराप,कालाहेडी,कालाहेडी,ajmer,मसूदा ,64,kirap,kalahedi,masuda,
किराप,सालरमाला,सालरमाला,ajmer,मसूदा ,65,kirap,salaramala,masuda,
मोयणा,मोयणा,मोयणा,ajmer,मसूदा ,66,moyna,moyna,masuda,
मोयणा,रतनगढ,रतनगढ,ajmer,मसूदा ,67,moyna,ratangarh,masuda,
मोयणा,भैरूखेडा,भैरूखेडा,ajmer,मसूदा ,68,moyna,bhairukheda,masuda,
मोयणा,सारणियां,सारणियां,ajmer,मसूदा ,69,moyna,saranians,masuda,
मोयणा,काशीपुरा,काशीपुरा,ajmer,मसूदा ,70,moyna,kashipura,masuda,
मोयणा,सबलपुरा,सबलपुरा,ajmer,मसूदा ,71,moyna,sabalpura,masuda,
मोयणा,रामपुरा,रामपुरा,ajmer,मसूदा ,72,moyna,rampura,masuda,
मोयणा,मानपुरा,मानपुरा,ajmer,मसूदा ,73,moyna,manpura,masuda,
मोयणा,श्यामपुरा,श्यामपुरा,ajmer,मसूदा ,74,moyna,shyampura,masuda,
मोयणा,गुढा,गुढा,ajmer,मसूदा ,75,moyna,gudha,masuda,
मायला,देवमगरी,देवमगरी,ajmer,मसूदा ,76,myla,devamagari,masuda,
मायला,मोहनपुरा,मोहनपुरा,ajmer,मसूदा ,77,myla,mohanpura,masuda,
मायला,जैतपुरा,जैतपुरा,ajmer,मसूदा ,78,myla,jaitpura,masuda,
मायला,मोतीपुरा,मोतीपुरा,ajmer,मसूदा ,79,myla,motipura,masuda,
मायला,मायला,मायला,ajmer,मसूदा ,80,myla,myla,masuda,
मायला,नागली,नागली,ajmer,मसूदा ,81,myla,nagli,masuda,
मायला,नासून,नासून,ajmer,मसूदा ,82,myla,nasoon,masuda,
मायला,केरिया,केरिया,ajmer,मसूदा ,83,myla,karya,masuda,
सतावडिया,सतावडिया,सतावडिया,ajmer,मसूदा ,84,savatadia,savatadia,masuda,
सतावडिया,जालखेडा,जालखेडा,ajmer,मसूदा ,85,savatadia,jalakheda,masuda,
सतावडिया,नयागांव,नयागांव,ajmer,मसूदा ,86,savatadia,nayagaon,masuda,
सतावडिया,चावण्डिया,चावण्डिया,ajmer,मसूदा ,87,savatadia,chavandia,masuda,
सतावडिया,सथालिया,सथालिया,ajmer,मसूदा ,88,savatadia,sathalia,masuda,
सतावडिया,गणेशमगरी,गणेशमगरी,ajmer,मसूदा ,89,savatadia,ganeshmagri,masuda,
नन्दवाडा,नन्दवाडा,नन्दवाडा,ajmer,मसूदा ,90,nandwada,nandwada,masuda,
नन्दवाडा,जसवन्तपुरा ,जसवन्तपुरा ,ajmer,मसूदा ,91,nandwada,jaswantpura,masuda,
नन्दवाडा,शिवपुरी,शिवपुरी,ajmer,मसूदा ,,nandwada,shivpuri,masuda,
नन्दवाडा,इन्द्रपुरा,इन्द्रपुरा,ajmer,मसूदा ,92,nandwada,indrapura,masuda,
नन्दवाडा,प्रतापपुरा ( प्रथम ),प्रतापपुरा ( प्रथम ),ajmer,मसूदा ,93,nandwada,pratappura (first),masuda,
नन्दवाडा,भालेसरिया,भालेसरिया,ajmer,मसूदा ,94,nandwada,bhalesaria,masuda,
नन्दवाडा,काकडनाडी ( गैआ ),काकडनाडी ( गैआ ),ajmer,मसूदा ,95,nandwada,kakdnadi (gaia),masuda,
नन्दवाडा,देबीपुरा,देबीपुरा,ajmer,मसूदा ,96,nandwada,debipura,masuda,
धोलादांता,धोलादांता,धोलादांता,ajmer,मसूदा ,97,dholadanta,dholadanta,masuda,
धोलादांता,चौडसिया,चौडसिया,ajmer,मसूदा ,98,dholadanta,chaudasia,masuda,
धोलादांता,राघपुरा,राघपुरा,ajmer,मसूदा ,99,dholadanta,raghpura,masuda,
धोलादांता,कुमपुरा,कुमपुरा,ajmer,मसूदा ,100,dholadanta,kumpura,masuda,
धोलादांता,सूना चौडसिया ( गैआ ),सूना चौडसिया ( गैआ ),ajmer,मसूदा ,,dholadanta,suna chaudasia (gaia),masuda,
दौलतपुरा ( द्वितीय ),दौलतपुरा ( द्वितीय ),दौलतपुरा ( द्वितीय ),ajmer,मसूदा ,101,daulatpura (ii),daulatpura (ii),masuda,
दौलतपुरा ( द्वितीय ),केसरपुरा,केसरपुरा,ajmer,मसूदा ,102,daulatpura (ii),kesarpura,masuda,
दौलतपुरा ( द्वितीय ),अमरपुरा,अमरपुरा,ajmer,मसूदा ,103,daulatpura (ii),amarpura,masuda,
दौलतपुरा ( द्वितीय ),सूरजपुरा,सूरजपुरा,ajmer,मसूदा ,104,daulatpura (ii),surajpura,masuda,
दौलतपुरा ( द्वितीय ),रेनपुरा,रेनपुरा,ajmer,मसूदा ,105,daulatpura (ii),renpura,masuda,
दौलतपुरा ( द्वितीय ),कानपुरा,कानपुरा,ajmer,मसूदा ,106,daulatpura (ii),kanpura,masuda,
दौलतपुरा ( द्वितीय ),प्रतापपुरा ( द्वितीय ),प्रतापपुरा ( द्वितीय ),ajmer,मसूदा ,107,daulatpura (ii),pratappura (ii),masuda,
दौलतपुरा ( द्वितीय ),टोपास,टोपास,ajmer,मसूदा ,108,daulatpura (ii),topas,masuda,
दौलतपुरा ( द्वितीय ),उत्तमी,उत्तमी,ajmer,मसूदा ,109,daulatpura (ii),uttami,masuda,
हरराजपुरा,हरराजपुरा,हरराजपुरा,ajmer,मसूदा ,110,harrajpura,harrajpura,masuda,
हरराजपुरा,लाणदी,लाणदी,ajmer,मसूदा ,111,harrajpura,landadi,masuda,
हरराजपुरा,बस्सी,बस्सी,ajmer,मसूदा ,112,harrajpura,bassi,masuda,
हरराजपुरा,बचपडी,बचपडी,ajmer,मसूदा ,113,harrajpura,children,masuda,
हरराजपुरा,करवाई,करवाई,ajmer,मसूदा ,114,harrajpura,done,masuda,
हरराजपुरा,चक मसूदा,चक मसूदा,ajmer,मसूदा ,115,harrajpura,chak masuda,masuda,
हरराजपुरा,भवानीखेडा,भवानीखेडा,ajmer,मसूदा ,116,harrajpura,bhawanikheda,masuda,
जीवाणा,जीवाणा,जीवाणा,ajmer,मसूदा ,117,jeevana,jeevana,masuda,
जीवाणा,रतनपुरा घाटा,रतनपुरा घाटा,ajmer,मसूदा ,118,jeevana,ratanpura loss,masuda,
जीवाणा,बाडिया मैदा,बाडिया मैदा,ajmer,मसूदा ,119,jeevana,badia maida,masuda,
जीवाणा,शिवपुरा घाटा,शिवपुरा घाटा,ajmer,मसूदा ,120,jeevana,shivpura loss,masuda,
देवास,देवास,देवास,ajmer,मसूदा ,121,dewas,dewas,masuda,
देवास,लाडपुरा,लाडपुरा,ajmer,मसूदा ,122,dewas,ladpura,masuda,
देवास,देदपुरा,देदपुरा,ajmer,मसूदा ,123,dewas,dedpura,masuda,
देवास,रूपोहली कंला,रूपोहली कंला,ajmer,मसूदा ,124,dewas,rupohli kanla,masuda,
देवास,रूपाहेली खुर्द,रूपाहेली खुर्द,ajmer,मसूदा ,125,dewas,rupaheli khurd,masuda,
देवास,रीछमाल,रीछमाल,ajmer,मसूदा ,126,dewas,bear,masuda,
देवास,रेल का बाडिया,रेल का बाडिया,ajmer,मसूदा ,127,dewas,rail badia,masuda,
देवास,अमरपुरा,अमरपुरा,ajmer,मसूदा ,128,dewas,amarpura,masuda,
बाडी,बाडी,बाडी,ajmer,मसूदा ,129,badi,badi,masuda,
बाडी,केसरपुरा,केसरपुरा,ajmer,मसूदा ,130,badi,kesarpura,masuda,
बाडी,खूंटिया,खूंटिया,ajmer,मसूदा ,131,badi,khuntia,masuda,
बाडी,देवपुरा,देवपुरा,ajmer,मसूदा ,132,badi,devpura,masuda,
बाडी,बडा आसन,बडा आसन,ajmer,मसूदा ,133,badi,big asana,masuda,
बाडी,सूतीखेडा,सूतीखेडा,ajmer,मसूदा ,134,badi,cotkheda,masuda,
बाडी,इन्द्रगढ,इन्द्रगढ,ajmer,मसूदा ,135,badi,indragarh,masuda,
दौलतपुरा ( प्रथम ),दौलतपुरा ( प्रथम ),दौलतपुरा ( प्रथम ),ajmer,मसूदा ,136,daulatpura (first),daulatpura (first),masuda,
दौलतपुरा ( प्रथम ),लोरडी,लोरडी,ajmer,मसूदा ,137,daulatpura (first),lordy,masuda,
लोडियाना,लोडियाना,लोडियाना,ajmer,मसूदा ,138,lodiana,lodiana,masuda,
लोडियाना,बहादुरपुरा,बहादुरपुरा,ajmer,मसूदा ,139,lodiana,bahadurpura,masuda,
लोडियाना,जयसिंहपुरा,जयसिंहपुरा,ajmer,मसूदा ,,lodiana,jaisinghpura,masuda,
लोडियाना,कल्याणपुरा,कल्याणपुरा,ajmer,मसूदा ,140,lodiana,kalyanpura,masuda,
लोडियाना,लक्ष्मीपुरा,लक्ष्मीपुरा,ajmer,मसूदा ,141,lodiana,laxmipura,masuda,
खरवा,खरवा,खरवा,ajmer,मसूदा ,142,kharwa,kharwa,masuda,
खरवा,गुवाडिया,गुवाडिया,ajmer,मसूदा ,143,kharwa,guwadia,masuda,
खरवा,सूरजपुरा,सूरजपुरा,ajmer,मसूदा ,144,kharwa,surajpura,masuda,
खरवा,देवपुरा,देवपुरा,ajmer,मसूदा ,,,devpura,,
खरवा,दानाजी की ढाणी,दानाजी की ढाणी,ajmer,मसूदा ,145,kharwa,danaji ki dhani,masuda,
खरवा,भवानीपुरा,भवानीपुरा,ajmer,मसूदा ,146,kharwa,bhawanipura,masuda,
खरवा,रानीसागर,रानीसागर,ajmer,मसूदा ,147,kharwa,ranisagar,masuda,
खरवा,जसवंतपुरा लहरी,जसवंतपुरा लहरी,ajmer,मसूदा ,148,kharwa,jaswantpura lahiri,masuda,
खरवा,रामपुरा,रामपुरा,ajmer,मसूदा ,149,kharwa,rampura,masuda,
खरवा,माधोगढ,माधोगढ,ajmer,मसूदा ,150,kharwa,madhogadh,masuda,
लुलवा,लूलवा,लूलवा,ajmer,मसूदा ,151,lulwa,lulwa,masuda,
लुलवा,जुझारों का बाडिया,जुझारों का बाडिया,ajmer,मसूदा ,152,lulwa,faid of faunch,masuda,
लुलवा,पीथामगना का बाडिया,पीथामगना का बाडिया,ajmer,मसूदा ,153,lulwa,peethmaga badia,masuda,
लुलवा,नयागांव,नयागांव,ajmer,मसूदा ,154,lulwa,nayagaon,masuda,
लुलवा,गेना का बाडिया,गेना का बाडिया,ajmer,मसूदा ,155,lulwa,genna's badia,masuda,
लुलवा,अमरसिंह का बाडिया,अमरसिंह का बाडिया,ajmer,मसूदा ,156,lulwa,amarsingh's badia,masuda,
झाक,झाक,झाक,ajmer,मसूदा ,157,jhak,jhak,masuda,
झाक,रावला बाडिया,रावला बाडिया,ajmer,मसूदा ,158,jhak,rawla badia,masuda,
झाक,नाडी,नाडी,ajmer,मसूदा ,159,jhak,nadi,masuda,
झाक,बानोला,बानोला,ajmer,मसूदा ,160,jhak,banola,masuda,
अण्टाली,अण्टाली,अण्टाली,ajmer,आसीन्द ,161,antali,antali,asind,
अण्टाली,रूपपुरा,रूपपुरा,ajmer,आसीन्द ,162,antali,rooppura,asind,
अण्टाली,बारणी,बारणी,ajmer,आसीन्द ,163,antali,barni,asind,
अण्टाली,गुलाबपुरा,गुलाबपुरा,ajmer,आसीन्द ,164,antali,gulabpura,asind,
गोविन्दगढ,गोविन्दगढ,गोविन्दगढ,ajmer,पीसांगन,165,govindgarh,govindgarh,pisangan,
गोविन्दगढ,जसवंतपुरा,जसवंतपुरा,ajmer,पीसांगन,166,govindgarh,jaswantpura,pisangan,
गोविन्दगढ,अखेपुरा,अखेपुरा,ajmer,पीसांगन,167,govindgarh,akhapura,pisangan,
गोविन्दगढ,समरथपुरा,समरथपुरा,ajmer,पीसांगन,168,govindgarh,samrathpura,pisangan,
देवनगर,देवनगर,देवनगर,ajmer,पीसांगन,169,devanagar,devanagar,pisangan,
देवनगर,बांसेली,बांसेली,ajmer,पीसांगन,170,devanagar,banseli,pisangan,
देवनगर,कानस,कानस,ajmer,पीसांगन,171,devanagar,kanas,pisangan,
देवनगर,नेडलिया,नेडलिया,ajmer,पीसांगन,172,devanagar,nadalia,pisangan,
देवनगर,लीलासेवडी,लीलासेवडी,ajmer,पीसांगन,173,devanagar,leelaswadi,pisangan,
झडवासा,झडवासा,झडवासा,ajmer,पीसांगन,174,jhadwasa,jhadwasa,pisangan,
झडवासा,निजामपुरा,निजामपुरा,ajmer,पीसांगन,175,jhadwasa,nizampura,pisangan,
झडवासा,मोतीपुरा,मोतीपुरा,ajmer,पीसांगन,176,jhadwasa,motipura,pisangan,
झडवासा,रसूलपुरा,रसूलपुरा,ajmer,पीसांगन,177,jhadwasa,rasulpura,pisangan,
झडवासा,धोलादांता,धोलादांता,ajmer,पीसांगन,178,jhadwasa,dholadanta,pisangan,
न्यारा,न्यारा,न्यारा,ajmer,पीसांगन,179,nyara,nyara,pisangan,
न्यारा,भगवानपुरा,भगवानपुरा,ajmer,पीसांगन,180,nyara,bhagwanpura,pisangan,
न्यारा,रामपुरा न्यारा,रामपुरा न्यारा,ajmer,पीसांगन,181,nyara,rampura nyara,pisangan,
न्यारा,काबरी चाट,काबरी चाट,ajmer,पीसांगन,182,nyara,kabri chaat,pisangan,
न्यारा,भैरूखेडा,भैरूखेडा,ajmer,पीसांगन,183,nyara,bhairukheda,pisangan,
न्यारा,बखतावरपुरा,बखतावरपुरा,ajmer,पीसांगन,184,nyara,bakhatavarpura,pisangan,
न्यारा,झबरकिया,झबरकिया,ajmer,पीसांगन,185,nyara,jhabarkia,pisangan,
न्यारा,अमरपुरा,अमरपुरा,ajmer,पीसांगन,186,nyara,amarpura,pisangan,
राजमहल,राजमहल,राजमहल,tonk,देवली,187,rajmahal,rajmahal,deoli,
राजमहल,रावतामाताजी,रावतामाताजी,tonk,देवली,188,rajmahal,rawatamataji,deoli,
राजमहल,सतवाडा,सतवाडा,tonk,देवली,189,rajmahal,satwada,deoli,
राजमहल,देवीखेडा,देवीखेडा,tonk,देवली,190,rajmahal,devikheda,deoli,
राजमहल,लाखोलाई,लाखोलाई,tonk,देवली,191,rajmahal,lakholai,deoli,
राजमहल,कुशालपुरा,कुशालपुरा,tonk,देवली,192,rajmahal,kushalpura,deoli,
राजमहल,नयागांव,नयागांव,tonk,देवली,193,rajmahal,nayagaon,deoli,
बीसलपुर,बीसलपुर,बीसलपुर,tonk,देवली,194,bisalpur,bisalpur,deoli,
बीसलपुर,रतनपुरा,रतनपुरा,tonk,देवली,195,bisalpur,ratanpura,deoli,
बीसलपुर,मानसिंहपुरा गै . आ .,मानसिंहपुरा गै . आ .,tonk,देवली,196,bisalpur,mansinghpura ga come .,deoli,
बीसलपुर,सुजानपुरा गै.आ.,सुजानपुरा गै.आ.,tonk,देवली,197,bisalpur,sujanpura g.a.,deoli,
बीसलपुर,साकरवाडा,साकरवाडा,tonk,देवली,198,bisalpur,sakarwada,deoli,
खेजडी,खेजडी,खेजडी,bhilwara,हुरड़ा,199,khejdi,khejdi,hurada,
खेजडी,नाहरगढ,नाहरगढ,bhilwara,हुरड़ा,200,khejdi,nahargarh,hurada,
खेजडी,भीमलत,भीमलत,bhilwara,हुरड़ा,201,khejdi,bhimalat,hurada,
खेजडी,गरवर,गरवर,bhilwara,हुरड़ा,202,khejdi,garwar,hurada,
खेजडी,मुरायला,मुरायला,bhilwara,हुरड़ा,203,khejdi,murala,hurada,
खेजडी,खेडी,खेडी,bhilwara,हुरड़ा,204,khejdi,khedi,hurada,
खेजडी,प्रतापपुरा,प्रतापपुरा,bhilwara,हुरड़ा,205,khejdi,pratappura,hurada,
माताजी का खेड़ा,माताजी का खेडा,माताजी का खेडा,bhilwara,शाहपुरा,206,mataji's kheda,mataji's kheda,shahpura,
माताजी का खेड़ा,बालापुरा,बालापुरा,bhilwara,शाहपुरा,207,mataji's kheda,balapura,shahpura,
माताजी का खेड़ा,अमरपुरा,अमरपुरा,bhilwara,शाहपुरा,208,mataji's kheda,amarpura,shahpura,
माताजी का खेड़ा,लक्ष्मीपुरा,लक्ष्मीपुरा,bhilwara,शाहपुरा,209,mataji's kheda,laxmipura,shahpura,
माताजी का खेड़ा,संतोषपुरा,संतोषपुरा,bhilwara,शाहपुरा,210,mataji's kheda,santoshpura,shahpura,
माताजी का खेड़ा,टोंपा,टोंपा,bhilwara,शाहपुरा,211,mataji's kheda,toppa,shahpura,
ऊंचा,ऊंचा,ऊंचा,bhilwara,जहाजपुर,212,high,high,jahazpur,
ऊंचा,कुचलवाड़ा कलां,कुचलवाड़ा कलां,bhilwara,जहाजपुर,213,high,kuchalwara kalan,jahazpur,
ऊंचा,मोरला,मोरला,bhilwara,जहाजपुर,214,high,morla,jahazpur,
ऊंचा,खेमा का खेडा,खेमा का खेडा,bhilwara,जहाजपुर,215,high,kheda's kheda,jahazpur,
ऊंचा,हनुमान नगर,हनुमान नगर,bhilwara,जहाजपुर,216,high,hanuman nagar,jahazpur,
ऊंचा,अम्बेडकर कॉलोनी,अम्बेडकर कॉलोनी,bhilwara,जहाजपुर,217,high,ambedkar colony,jahazpur,
ताखोली,ताखोली,ताखोली,tonk,टोंक,218,takholi,takholi,tonk,
ताखोली,रघुनाथपुरा,रघुनाथपुरा,tonk,टोंक,219,takholi,raghunathpura,tonk,
ताखोली,सरदारपुरा,सरदारपुरा,tonk,टोंक,220,takholi,sardarpura,tonk,
खातोली,खातोली,खातोली,tonk,उनियारा,221,khatoli,khatoli,uniara,
खातोली,गांगली,गांगली,tonk,उनियारा,222,khatoli,gangli,uniara,
खातोली,दोबडिया,दोबडिया,tonk,उनियारा,223,khatoli,dobdia,uniara,
खातोली,पागडा,पागडा,tonk,उनियारा,224,khatoli,pagda,uniara,
खातोली,उनियारी,उनियारी,tonk,उनियारा,225,khatoli,uniyari,uniara,
खातोली,नाहरा,नाहरा,tonk,उनियारा,226,khatoli,nahara,uniara,
खातोली,पागडी ( छोटीबडी ),पागडी ( छोटीबडी ),tonk,उनियारा,227,khatoli,pagdi (chhotibdi),uniara,
खातोली,मोरझालान की झोंपडिया,मोरझालान की झोंपडिया,tonk,उनियारा,228,khatoli,morjhalan's hut,uniara,
खातोली,गोडो की झोपडिया,गोडो की झोपडिया,tonk,उनियारा,229,khatoli,godo's hut,uniara,
खातोली,पागडी गै 0 आ 0,पागडी गै 0 आ 0,tonk,उनियारा,230,khatoli,pagdi ga.,uniara,
पलाई,पलाई,पलाई,tonk,उनियारा,231,palai,palai,uniara,
पलाई,चतरपुरा,चतरपुरा,tonk,उनियारा,232,palai,chatarpura,uniara,
पलाई,महाराजपुरा,महाराजपुरा,tonk,उनियारा,233,palai,maharajpura,uniara,
पलाई,श्योपुरा,श्योपुरा,tonk,उनियारा,,palai,sheopura,,
पलाई,हुकमपुरा,हुकमपुरा,tonk,उनियारा,234,palai,hukampura,uniara,
मोहम्मदगढ,मोहम्मदगढ,मोहम्मदगढ,tonk,उनियारा,235,mohammadgarh,mohammadgarh,uniara,
मोहम्मदगढ,याकुबपुरा,याकुबपुरा,tonk,उनियारा,236,mohammadgarh,yakubpura,uniara,
मोहम्मदगढ,चकयाकूबपुरा,चकयाकूबपुरा,tonk,उनियारा,237,mohammadgarh,chakayakubpura,uniara,
मोहम्मदगढ,ज्ञानपुरा,ज्ञानपुरा,tonk,उनियारा,238,mohammadgarh,gyanpura,uniara,
मोहम्मदगढ,तुम्बीपुरा,तुम्बीपुरा,tonk,उनियारा,239,mohammadgarh,tumbipura,uniara,
मोहम्मदगढ,बिशनपुरा,बिशनपुरा,tonk,उनियारा,240,mohammadgarh,bishanpura,uniara,
मोहम्मदगढ,रघुनाथपुरा कला,रघुनाथपुरा कला,tonk,उनियारा,241,mohammadgarh,raghunathpura art,uniara,
मोहम्मदगढ,रघुनाथपुरा खुर्द,रघुनाथपुरा खुर्द,tonk,उनियारा,242,mohammadgarh,raghunathpura khurd,uniara,
मोहम्मदगढ,विजयगढ,विजयगढ,tonk,उनियारा,243,mohammadgarh,vijaygarh,uniara,
गोठडा,गोठडा,गोठडा,tonk,उनियारा,244,gothda,gothda,uniara,
गोठडा,कल्याणपुरा,कल्याणपुरा,tonk,उनियारा,245,gothda,kalyanpura,uniara,
गोठडा,खातोला,खातोला,tonk,उनियारा,246,gothda,khatola,uniara,
गोठडा,जयनगर,जयनगर,tonk,उनियारा,247,gothda,jayanagar,uniara,
गोठडा,खेडा,खेडा,tonk,उनियारा,248,gothda,kheda,uniara,
गोठडा,देवपुराखुर्द,देवपुराखुर्द,tonk,उनियारा,249,gothda,devpurakhurd,uniara,
