order,gp_name,gp_villages,panchayat_samiti,district,verified_or_not,gp_name_goog_translate,gp_village_goog_translate,ps_goog_translate,,,,,,,,,,,,,,
18,मेडिया,छापरो का बाडिया,जवाजा,ajmer,1,media,chhaparo badia,jawaja,,,,,,,,,,,,,,
19,मेडिया,डूगरखेडा,जवाजा,ajmer,1,media,dugarkheda,jawaja,,,,,,,,,,,,,,
20,मेडिया,शोभापुरा,जवाजा,ajmer,1,media,shobhapura,jawaja,,,,,,,,,,,,,,
21,मेडिया,रामपुरा मेवातिया,जवाजा,ajmer,1,media,rampura mewatia,jawaja,,,,,,,,,,,,,,
22,जालिया प्रथम,जालिया प्रथम,जवाजा,ajmer,1,jalia first,jalia first,jawaja,,,,,,,,,,,,,,
23,जालिया प्रथम,बाडिया श्यामा,जवाजा,ajmer,1,jalia first,badia shyama,jawaja,,,,,,,,,,,,,,
24,जालिया प्रथम,बाडिया जगा,जवाजा,ajmer,1,jalia first,badia awake,jawaja,,,,,,,,,,,,,,
25,जालिया प्रथम,रामसर बलाईयान,जवाजा,ajmer,1,jalia first,ramsar balaiyan,jawaja,,,,,,,,,,,,,,
26,जालिया प्रथम,मालीपुरा,जवाजा,ajmer,1,jalia first,malipura,jawaja,,,,,,,,,,,,,,
27,जालिया प्रथम,सोवनिया,जवाजा,ajmer,1,jalia first,sowania,jawaja,,,,,,,,,,,,,,
28,जालिया प्रथम,बनेवडी,जवाजा,ajmer,1,jalia first,baniwadi,jawaja,,,,,,,,,,,,,,
29,जालिया प्रथम,ठिकराना मेहन्द्रातान,जवाजा,ajmer,1,jalia first,thikrana mendratan,jawaja,,,,,,,,,,,,,,
30,जालिया प्रथम,खेजडला,जवाजा,ajmer,1,jalia first,khejdla,jawaja,,,,,,,,,,,,,,
31,नुन्द्री मालदेव,नुन्द्री मालदेव,जवाजा,ajmer,1,nundri maldev,nundri maldev,jawaja,,,,,,,,,,,,,,
32,नुन्द्री मालदेव,शिवनाथपुरा,जवाजा,ajmer,1,nundri maldev,shivnathpura,jawaja,,,,,,,,,,,,,,
33,नुन्द्री मालदेव,गणेशपुरा,जवाजा,ajmer,1,nundri maldev,ganeshpura,jawaja,,,,,,,,,,,,,,
34,नुन्द्री मालदेव,गोविन्द पुरा,जवाजा,ajmer,1,nundri maldev,govind pura,jawaja,,,,,,,,,,,,,,
35,देलवाडा,देलवाडा,जवाजा,ajmer,1,delwara,delwara,jawaja,,,,,,,,,,,,,,
36,देलवाडा,मांडावास,जवाजा,ajmer,1,delwara,mandavas,jawaja,,,,,,,,,,,,,,
37,देलवाडा,दौलतपुरा बलाईयान,जवाजा,ajmer,1,delwara,daulatpura balaiyan,jawaja,,,,,,,,,,,,,,
38,देलवाडा,लसाडिया,जवाजा,ajmer,1,delwara,lasadia,jawaja,,,,,,,,,,,,,,
39,देलवाडा,शेषपुरा,जवाजा,ajmer,1,delwara,sheshpura,jawaja,,,,,,,,,,,,,,
40,देलवाडा,लस्सानी-प्रथम,जवाजा,ajmer,1,delwara,lassani-first,jawaja,,,,,,,,,,,,,,
41,सुहावा,सुहावा,जवाजा,ajmer,1,suhawa,suhawa,jawaja,,,,,,,,,,,,,,
42,सुहावा,खिरनीखेडा,जवाजा,ajmer,1,suhawa,khirnikheda,jawaja,,,,,,,,,,,,,,
43,सुहावा,लाखिना,जवाजा,ajmer,1,suhawa,lakhina,jawaja,,,,,,,,,,,,,,
44,सुहावा,फतेहपुर प्रथम,जवाजा,ajmer,1,suhawa,fatehpur first,jawaja,,,,,,,,,,,,,,
45,सुहावा,ठिकराना गुजरान,जवाजा,ajmer,1,suhawa,thikrana gujran,jawaja,,,,,,,,,,,,,,
46,सुहावा,रतनपुरा झूठा,जवाजा,ajmer,1,suhawa,ratanpura is false,jawaja,,,,,,,,,,,,,,
47,सुहावा,पाखरियावास,जवाजा,ajmer,1,suhawa,pakharwas,jawaja,,,,,,,,,,,,,,
48,सुहावा,बाडिया भाऊ,जवाजा,ajmer,1,suhawa,badiya bhau,jawaja,,,,,,,,,,,,,,
49,सरमालिया,सरमालिया,जवाजा,ajmer,1,sarmalia,sarmalia,jawaja,,,,,,,,,,,,,,
50,सरमालिया,भवानी खेडा,जवाजा,ajmer,1,sarmalia,bhavani kheda,jawaja,,,,,,,,,,,,,,
51,सरमालिया,सरगांव,जवाजा,ajmer,1,sarmalia,sargaon,jawaja,,,,,,,,,,,,,,
52,सरमालिया,पिलानी,जवाजा,ajmer,1,sarmalia,pilani,jawaja,,,,,,,,,,,,,,
53,सरमालिया,नयासर,जवाजा,ajmer,1,sarmalia,nayasar,jawaja,,,,,,,,,,,,,,
54,सरमालिया,मकरेडा,जवाजा,ajmer,1,sarmalia,makreda,jawaja,,,,,,,,,,,,,,
55,नुन्द्री मेन्द्रातान,नुन्द्री मेन्द्रातान,जवाजा,ajmer,1,nundri mendratan,nundri mendratan,jawaja,,,,,,,,,,,,,,
56,नुन्द्री मेन्द्रातान,भीलातो का बाडिया,जवाजा,ajmer,1,nundri mendratan,bhulato's badia,jawaja,,,,,,,,,,,,,,
57,नुन्द्री मेन्द्रातान,सिरोला,जवाजा,ajmer,1,nundri mendratan,sirola,jawaja,,,,,,,,,,,,,,
58,नुन्द्री मेन्द्रातान,रतनपुरा सरदारा,जवाजा,ajmer,1,nundri mendratan,ratanpura sardara,jawaja,,,,,,,,,,,,,,
59,नुन्द्री मेन्द्रातान,फतेहपुरिया (ग्रामीण),जवाजा,ajmer,1,nundri mendratan,fatehpuria (rural),jawaja,,,,,,,,,,,,,,
60,दुर्गावास,दुर्गावास,जवाजा,ajmer,1,durgwas,durgwas,jawaja,,,,,,,,,,,,,,
61,दुर्गावास,रामावास,जवाजा,ajmer,1,durgwas,ramavas,jawaja,,,,,,,,,,,,,,
62,दुर्गावास,बिच्छु चौड़ा,जवाजा,ajmer,1,durgwas,scorpion wide,jawaja,,,,,,,,,,,,,,
63,दुर्गावास,लालपुराधनार,जवाजा,ajmer,1,durgwas,lalpurdhanar,jawaja,,,,,,,,,,,,,,
64,दुर्गावास,खेडा देवनारायण,जवाजा,ajmer,1,durgwas,kheda devnarayan,jawaja,,,,,,,,,,,,,,
65,दुर्गावास,खाडिया खेडा,जवाजा,ajmer,1,durgwas,khadia kheda,jawaja,,,,,,,,,,,,,,
66,दुर्गावास,धोलादाता -1,जवाजा,ajmer,1,durgwas,dholadata -1,jawaja,,,,,,,,,,,,,,
67,दुर्गावास,भैरूखेडा,जवाजा,ajmer,1,durgwas,bhairukheda,jawaja,,,,,,,,,,,,,,
68,रूपनगर,रूपनगर,जवाजा,ajmer,1,rupnagar,rupnagar,jawaja,,,,,,,,,,,,,,
69,रूपनगर,फतेहगढ़ सल्ला,जवाजा,ajmer,1,rupnagar,fatehgarh salla,jawaja,,,,,,,,,,,,,,
70,रूपनगर,जोहरखेडा,जवाजा,ajmer,1,rupnagar,joharkheda,jawaja,,,,,,,,,,,,,,
71,रूपनगर,चौडानिमडी,जवाजा,ajmer,1,rupnagar,chaudanimi,jawaja,,,,,,,,,,,,,,
72,रूपनगर,चौडानिमडी,जवाजा,ajmer,1,rupnagar,chaudanimi,jawaja,,,,,,,,,,,,,,
73,रूपनगर,देवपुरा,जवाजा,ajmer,1,rupnagar,devpura,jawaja,,,,,,,,,,,,,,
74,ब्यावरख़ास,ब्यावरख़ास,जवाजा,ajmer,1,beawarkhas,beawarkhas,jawaja,,,,,,,,,,,,,,
75,ब्यावरख़ास,रेहमानखेडा,जवाजा,ajmer,1,beawarkhas,rehmankheda,jawaja,,,,,,,,,,,,,,
76,ब्यावरख़ास,सराधना,जवाजा,ajmer,1,beawarkhas,saradhana,jawaja,,,,,,,,,,,,,,
77,ब्यावरख़ास,गोपालपुरा,जवाजा,ajmer,1,beawarkhas,gopalpura,jawaja,,,,,,,,,,,,,,
78,ब्यावरख़ास,भगवानपुरा,जवाजा,ajmer,1,beawarkhas,bhagwanpura,jawaja,,,,,,,,,,,,,,
79,ब्यावरख़ास,हरराजपुरा,जवाजा,ajmer,1,beawarkhas,harrajpura,jawaja,,,,,,,,,,,,,,
80,ब्यावरख़ास,सम्भुपुरा,जवाजा,ajmer,1,beawarkhas,sambhupura,jawaja,,,,,,,,,,,,,,
81,राजियावास,राजियावास,जवाजा,ajmer,1,rajiawas,rajiawas,jawaja,,,,,,,,,,,,,,
82,राजियावास,कालिंजर,जवाजा,ajmer,1,rajiawas,kalinjar,jawaja,,,,,,,,,,,,,,
83,गोहाना,गोहाना,जवाजा,ajmer,1,gohana,gohana,jawaja,,,,,,,,,,,,,,
84,गोहाना,रायताखेडा,जवाजा,ajmer,1,gohana,raitkheda,jawaja,,,,,,,,,,,,,,
85,गोहाना,सनवा,जवाजा,ajmer,1,gohana,sanwa,jawaja,,,,,,,,,,,,,,
86,गोहाना,रामखेडा धन्नार,जवाजा,ajmer,1,gohana,ramkheda dhannar,jawaja,,,,,,,,,,,,,,
87,अतीतमड,अतीतमड,जवाजा,ajmer,1,attamad,attamad,jawaja,,,,,,,,,,,,,,
88,अतीतमड,रामसर मौहल्ला,जवाजा,ajmer,1,attamad,ramsar mohalla,jawaja,,,,,,,,,,,,,,
89,अतीतमड,जैतपुरा,जवाजा,ajmer,1,attamad,jaitpura,jawaja,,,,,,,,,,,,,,
90,अतीतमड,बलाईखेडा,जवाजा,ajmer,1,attamad,balikheda,jawaja,,,,,,,,,,,,,,
91,अतीतमड,शाहपुरा,जवाजा,ajmer,1,attamad,shahpura,jawaja,,,,,,,,,,,,,,
92,सरवीना,सरवीना,जवाजा,ajmer,1,sarveena,sarveena,jawaja,,,,,,,,,,,,,,
93,सरवीना,जैतगढ़ बामनिया,जवाजा,ajmer,1,sarveena,jaitgarh bamania,jawaja,,,,,,,,,,,,,,
94,सरवीना,सुरजपुरा,जवाजा,ajmer,1,sarveena,surajpura,jawaja,,,,,,,,,,,,,,
95,सरवीना,नाहरपुरा,जवाजा,ajmer,1,sarveena,naharpura,jawaja,,,,,,,,,,,,,,
96,सरवीना,करला,जवाजा,ajmer,1,sarveena,karla,jawaja,,,,,,,,,,,,,,
97,सरवीना,राजपुरा बोचान,जवाजा,ajmer,1,sarveena,rajpura bochan,jawaja,,,,,,,,,,,,,,
98,सुरडिया,सुरडिया,जवाजा,ajmer,1,surdia,surdia,jawaja,,,,,,,,,,,,,,
99,सुरडिया,देवखेडा,जवाजा,ajmer,1,surdia,devkheda,jawaja,,,,,,,,,,,,,,
100,सुरडिया,सांगरवास,जवाजा,ajmer,1,surdia,sangarwas,jawaja,,,,,,,,,,,,,,
101,सुरडिया,कालादडा,जवाजा,ajmer,1,surdia,kaladda,jawaja,,,,,,,,,,,,,,
102,सुरडिया,शिवनगरी,जवाजा,ajmer,1,surdia,shivnagari,jawaja,,,,,,,,,,,,,,
103,नरबद खेडा,नरबद खेडा,जवाजा,ajmer,1,narbad kheda,narbad kheda,jawaja,,,,,,,,,,,,,,
104,नरबद खेडा,भोजपुरा,जवाजा,ajmer,1,narbad kheda,bhojpura,jawaja,,,,,,,,,,,,,,
105,नरबद खेडा,सिंघाडिया,जवाजा,ajmer,1,narbad kheda,singhadia,jawaja,,,,,,,,,,,,,,
106,नरबद खेडा,लाम्बा,जवाजा,ajmer,1,narbad kheda,lamba,jawaja,,,,,,,,,,,,,,
107,नरबद खेडा,प्रतापपुरा,जवाजा,ajmer,1,narbad kheda,pratappura,jawaja,,,,,,,,,,,,,,
108,नरबद खेडा,केसरपुरा,जवाजा,ajmer,1,narbad kheda,kesarpura,jawaja,,,,,,,,,,,,,,
109,नरबद खेडा,रामसर इन्दा,जवाजा,ajmer,1,narbad kheda,ramsar inda,jawaja,,,,,,,,,,,,,,
110,सुरजपुरा,सुरजपुरा,जवाजा,ajmer,1,surajpura,surajpura,jawaja,,,,,,,,,,,,,,
111,सुरजपुरा,बनारखेडा,जवाजा,ajmer,1,surajpura,banarkheda,jawaja,,,,,,,,,,,,,,
112,सुरजपुरा,बाडिया भाऊ,जवाजा,ajmer,1,surajpura,badiya bhau,jawaja,,,,,,,,,,,,,,
113,सुरजपुरा,जालिया ।। वास रूपा,जवाजा,ajmer,1,surajpura,jalia. habitat rupa,jawaja,,,,,,,,,,,,,,
114,सुरजपुरा,जालिया ।। वास लाला,जवाजा,ajmer,1,surajpura,jalia. vas lala,jawaja,,,,,,,,,,,,,,
115,सुरजपुरा,जालिया ।। वास दुर्गा,जवाजा,ajmer,1,surajpura,jalia. durga,jawaja,,,,,,,,,,,,,,
116,सुरजपुरा,जालिया ।। वास पिथा,जवाजा,ajmer,1,surajpura,jalia. habitat,jawaja,,,,,,,,,,,,,,
117,रावतमाल,रावतमाल,जवाजा,ajmer,1,ravatmal,ravatmal,jawaja,,,,,,,,,,,,,,
118,रावतमाल,लस्सानी- II,जवाजा,ajmer,1,ravatmal,lassani-ii,jawaja,,,,,,,,,,,,,,
119,रावतमाल,बागलिया,जवाजा,ajmer,1,ravatmal,bagalia,jawaja,,,,,,,,,,,,,,
120,रावतमाल,खेडादांती,जवाजा,ajmer,1,ravatmal,khedadanti,jawaja,,,,,,,,,,,,,,
121,लोटियान,लोटियान,जवाजा,ajmer,1,lotian,lotian,jawaja,,,,,,,,,,,,,,
122,लोटियान,सोनियाना चौड़ा,जवाजा,ajmer,1,lotian,soniana wide,jawaja,,,,,,,,,,,,,,
123,लोटियान,बिहार रतनपुरा,जवाजा,ajmer,1,lotian,bihar ratanpura,jawaja,,,,,,,,,,,,,,
124,लोटियान,सोनियाना,जवाजा,ajmer,1,lotian,soniana,jawaja,,,,,,,,,,,,,,
125,किशनपुरा,किशनपुरा,जवाजा,ajmer,1,kishanpura,kishanpura,jawaja,,,,,,,,,,,,,,
126,किशनपुरा,हिम्मतपुरा,जवाजा,ajmer,1,kishanpura,himmatpura,jawaja,,,,,,,,,,,,,,
127,किशनपुरा,भैसापा,जवाजा,ajmer,1,kishanpura,bhasapa,jawaja,,,,,,,,,,,,,,
128,किशनपुरा,गाजीपुरा,जवाजा,ajmer,1,kishanpura,ghazipura,jawaja,,,,,,,,,,,,,,
129,किशनपुरा,राजेन्द्रा,जवाजा,ajmer,1,kishanpura,rajendra,jawaja,,,,,,,,,,,,,,
130,किशनपुरा,ठाकरवास,जवाजा,ajmer,1,kishanpura,thakarwas,jawaja,,,,,,,,,,,,,,
131,किशनपुरा,बाडिया लुम्बा,जवाजा,ajmer,1,kishanpura,badia lumba,jawaja,,,,,,,,,,,,,,
132,किशनपुरा,बस्सी,जवाजा,ajmer,1,kishanpura,bassi,jawaja,,,,,,,,,,,,,,
133,किशनपुरा,कालीकांकर,जवाजा,ajmer,1,kishanpura,kalikankar,jawaja,,,,,,,,,,,,,,
134,किशनपुरा,भैसापा,जवाजा,ajmer,1,kishanpura,bhasapa,jawaja,,,,,,,,,,,,,,
135,किशनपुरा,भैसापा,जवाजा,ajmer,1,kishanpura,bhasapa,jawaja,,,,,,,,,,,,,,
136,किशनपुरा,भैसापा,जवाजा,ajmer,1,kishanpura,bhasapa,jawaja,,,,,,,,,,,,,,
137,किशनपुरा,भैसापा,जवाजा,ajmer,1,kishanpura,bhasapa,jawaja,,,,,,,,,,,,,,
138,देवाता,देवाता,जवाजा,ajmer,1,devata,devata,jawaja,,,,,,,,,,,,,,
139,देवाता,हिरा का बाडिया,जवाजा,ajmer,1,devata,hira's badia,jawaja,,,,,,,,,,,,,,
140,देवाता,भांबीपूरा,जवाजा,ajmer,1,devata,bhagipura,jawaja,,,,,,,,,,,,,,
141,देवाता,कलात खेडा,जवाजा,ajmer,1,devata,kalat kheda,jawaja,,,,,,,,,,,,,,
142,देवाता,किशनपुरा,जवाजा,ajmer,1,devata,kishanpura,jawaja,,,,,,,,,,,,,,
143,देवाता,कानपुरा,जवाजा,ajmer,1,devata,kanpura,jawaja,,,,,,,,,,,,,,
144,देवाता,बाडिया नगा,जवाजा,ajmer,1,devata,badia naga,jawaja,,,,,,,,,,,,,,
145,देवाता,अनाकर,जवाजा,ajmer,1,devata,anakar,jawaja,,,,,,,,,,,,,,
146,देवाता,मालपुरा,जवाजा,ajmer,1,devata,malpura,jawaja,,,,,,,,,,,,,,
147,देवाता,जगपुरा,जवाजा,ajmer,1,devata,jagpura,jawaja,,,,,,,,,,,,,,
148,देवाता,हथानखेडा,जवाजा,ajmer,1,devata,hathankheda,jawaja,,,,,,,,,,,,,,
149,बराखन,बराखन,जवाजा,ajmer,1,barakhan,barakhan,jawaja,,,,,,,,,,,,,,
150,बराखन,नेगलिया,जवाजा,ajmer,1,barakhan,negalia,jawaja,,,,,,,,,,,,,,
151,बराखन,गोगेला,जवाजा,ajmer,1,barakhan,gogela,jawaja,,,,,,,,,,,,,,
152,बराखन,धोलादाता,जवाजा,ajmer,1,barakhan,dholadata,jawaja,,,,,,,,,,,,,,
153,बराखन,रोडियाना,जवाजा,ajmer,1,barakhan,rhodiana,jawaja,,,,,,,,,,,,,,
154,बराखन,बुजारेल,जवाजा,ajmer,1,barakhan,bujelle,jawaja,,,,,,,,,,,,,,
155,बराखन,मेडिया,जवाजा,ajmer,1,barakhan,media,jawaja,,,,,,,,,,,,,,
156,बराखन,धर्मा की तलाई,जवाजा,ajmer,1,barakhan,dharma ki talai,jawaja,,,,,,,,,,,,,,
157,आसन,आसन,जवाजा,ajmer,1,asana,asana,jawaja,,,,,,,,,,,,,,
158,आसन,बाघमाल,जवाजा,ajmer,1,asana,baghmal,jawaja,,,,,,,,,,,,,,
159,आसन,देवलाता,जवाजा,ajmer,1,asana,devalata,jawaja,,,,,,,,,,,,,,
160,आसन,गणेशपुरा,जवाजा,ajmer,1,asana,ganeshpura,jawaja,,,,,,,,,,,,,,
161,आसन,सातुखेडा,जवाजा,ajmer,1,asana,satukheda,jawaja,,,,,,,,,,,,,,
162,आसन,सरुपा,जवाजा,ajmer,1,asana,sarupa,jawaja,,,,,,,,,,,,,,
163,आसन,राणाता भगवानपुरा,जवाजा,ajmer,1,asana,ranaata bhagwanpura,jawaja,,,,,,,,,,,,,,
164,आसन,कडीयापा,जवाजा,ajmer,1,asana,kadiaapa,jawaja,,,,,,,,,,,,,,
165,आसन,सरुपा अलजीरिया,जवाजा,ajmer,1,asana,sarupa algeria,jawaja,,,,,,,,,,,,,,
166,नन्दवाडा,नन्दवाडा,मसूदा,ajmer,1,nandwada,nandwada,masuda,,,,,,,,,,,,,,
167,नन्दवाडा,शिवपुरी,मसूदा,ajmer,1,nandwada,shivpuri,masuda,,,,,,,,,,,,,,
168,नन्दवाडा,इन्द्रपुरा,मसूदा,ajmer,1,nandwada,indrapura,masuda,,,,,,,,,,,,,,
169,नन्दवाडा,प्रतापपुरा ।,मसूदा,ajmer,1,nandwada,pratappura.,masuda,,,,,,,,,,,,,,
170,नन्दवाडा,उत्तमी,मसूदा,ajmer,1,nandwada,uttami,masuda,,,,,,,,,,,,,,
171,नन्दवाडा,काकरनाडी ( गैर आबाद ),मसूदा,ajmer,1,nandwada,kakranadi (non -populated),masuda,,,,,,,,,,,,,,
172,नन्दवाडा,देबीपुरा,मसूदा,ajmer,1,nandwada,debipura,masuda,,,,,,,,,,,,,,
173,नन्दवाडा,भालेसरिया,मसूदा,ajmer,1,nandwada,bhalesaria,masuda,,,,,,,,,,,,,,
174,धोलादांता,धोलादांता,मसूदा,ajmer,1,dholadanta,dholadanta,masuda,,,,,,,,,,,,,,
175,धोलादांता,राघपुरा,मसूदा,ajmer,1,dholadanta,raghpura,masuda,,,,,,,,,,,,,,
176,धोलादांता,कुमपुरा,मसूदा,ajmer,1,dholadanta,kumpura,masuda,,,,,,,,,,,,,,
177,धोलादांता,जसवन्तपुरा,मसूदा,ajmer,1,dholadanta,jaswantpura,masuda,,,,,,,,,,,,,,
178,धोलादांता,भवानीखेडा,मसूदा,ajmer,1,dholadanta,bhawanikheda,masuda,,,,,,,,,,,,,,
179,अन्धेरी देवरी,अन्धेरी देवरी,मसूदा,ajmer,1,andheri deori,andheri deori,masuda,,,,,,,,,,,,,,
180,अन्धेरी देवरी,मुण्डोती,मसूदा,ajmer,1,andheri deori,mundoti,masuda,,,,,,,,,,,,,,
181,अन्धेरी देवरी,खीमपुरा,मसूदा,ajmer,1,andheri deori,khimpura,masuda,,,,,,,,,,,,,,
182,अन्धेरी देवरी,भरकाला,मसूदा,ajmer,1,andheri deori,bharkala,masuda,,,,,,,,,,,,,,
183,अन्धेरी देवरी,सरकना,मसूदा,ajmer,1,andheri deori,carry,masuda,,,,,,,,,,,,,,
184,अन्धेरी देवरी,रामपुरा गैना,मसूदा,ajmer,1,andheri deori,rampura gana,masuda,,,,,,,,,,,,,,
185,नयागांव,नयागांव,मसूदा,ajmer,1,nayagaon,nayagaon,masuda,,,,,,,,,,,,,,
186,नयागांव,गैना का बाडिया,मसूदा,ajmer,1,nayagaon,gaina's badia,masuda,,,,,,,,,,,,,,
187,नयागांव,अमरसिह का बाडिया,मसूदा,ajmer,1,nayagaon,amarsih's badia,masuda,,,,,,,,,,,,,,
188,नयागांव,पीथामकना का बाडिया,मसूदा,ajmer,1,nayagaon,peethmaka badia,masuda,,,,,,,,,,,,,,
189,नयागांव,चौडसिया,मसूदा,ajmer,1,nayagaon,chaudasia,masuda,,,,,,,,,,,,,,
190,लूलवा,लूलवा,मसूदा,ajmer,1,lulwa,lulwa,masuda,,,,,,,,,,,,,,
191,लूलवा,जुझारों का बाडिया,मसूदा,ajmer,1,lulwa,faid of faunch,masuda,,,,,,,,,,,,,,
192,लूलवा,सूना चौडसिया ( गैर आबाद ),मसूदा,ajmer,1,lulwa,wind chaudasia (non -populated),masuda,,,,,,,,,,,,,,
193,हरराजपुरा,हरराजपुरा,मसूदा,ajmer,1,harrajpura,harrajpura,masuda,,,,,,,,,,,,,,
194,हरराजपुरा,लाणदी बस्सी,मसूदा,ajmer,1,harrajpura,landi bassi,masuda,,,,,,,,,,,,,,
195,हरराजपुरा,बचपडी,मसूदा,ajmer,1,harrajpura,children,masuda,,,,,,,,,,,,,,
196,हरराजपुरा,चकमसूदा,मसूदा,ajmer,1,harrajpura,chakmasuda,masuda,,,,,,,,,,,,,,
197,हरराजपुरा,करवाई,मसूदा,ajmer,1,harrajpura,done,masuda,,,,,,,,,,,,,,
198,देवपुरा,देवपुरा,मसूदा,ajmer,1,devpura,devpura,masuda,,,,,,,,,,,,,,
199,देवपुरा,सुरजपुरा,मसूदा,ajmer,1,devpura,surajpura,masuda,,,,,,,,,,,,,,
200,देवपुरा,गुवाडिया,मसूदा,ajmer,1,devpura,guwadia,masuda,,,,,,,,,,,,,,
201,देवपुरा,दानाजी की ढाणी,मसूदा,ajmer,1,devpura,danaji ki dhani,masuda,,,,,,,,,,,,,,
202,देवपुरा,रामपुरा,मसूदा,ajmer,1,devpura,rampura,masuda,,,,,,,,,,,,,,
203,देवपुरा,माधोगढ,मसूदा,ajmer,1,devpura,madhogadh,masuda,,,,,,,,,,,,,,
204,मायला,मायला,मसूदा,ajmer,1,myla,myla,masuda,,,,,,,,,,,,,,
205,मायला,नागली,मसूदा,ajmer,1,myla,nagli,masuda,,,,,,,,,,,,,,
206,मायला,नासून,मसूदा,ajmer,1,myla,nasoon,masuda,,,,,,,,,,,,,,
207,मायला,देवमंगरी,मसूदा,ajmer,1,myla,devamangari,masuda,,,,,,,,,,,,,,
208,मायला,मोहनपुरा,मसूदा,ajmer,1,myla,mohanpura,masuda,,,,,,,,,,,,,,
209,मायला,जैतपुरा,मसूदा,ajmer,1,myla,jaitpura,masuda,,,,,,,,,,,,,,
210,मायला,मोतीपुरा,मसूदा,ajmer,1,myla,motipura,masuda,,,,,,,,,,,,,,
211,जामोला,जामोला,मसूदा,ajmer,1,jamola,jamola,masuda,,,,,,,,,,,,,,
212,जामोला,जालिया जामोला,मसूदा,ajmer,1,jamola,jalia jamola,masuda,,,,,,,,,,,,,,
213,जामोला,आडेडा,मसूदा,ajmer,1,jamola,adade,masuda,,,,,,,,,,,,,,
214,जामोला,दौलतपुरा,मसूदा,ajmer,1,jamola,daulatpura,masuda,,,,,,,,,,,,,,
215,सतावडिया,सतावडिया,मसूदा,ajmer,1,savatadia,savatadia,masuda,,,,,,,,,,,,,,
216,सतावडिया,जालखेडा,मसूदा,ajmer,1,savatadia,jalakheda,masuda,,,,,,,,,,,,,,
217,सतावडिया,नयागांव,मसूदा,ajmer,1,savatadia,nayagaon,masuda,,,,,,,,,,,,,,
218,सतावडिया,चावण्डिया,मसूदा,ajmer,1,savatadia,chavandia,masuda,,,,,,,,,,,,,,
219,सतावडिया,सथालिया,मसूदा,ajmer,1,savatadia,sathalia,masuda,,,,,,,,,,,,,,
220,सतावडिया,केरिया,मसूदा,ajmer,1,savatadia,karya,masuda,,,,,,,,,,,,,,
221,सतावडिया,गणेशमंगरी,मसूदा,ajmer,1,savatadia,ganeshmangari,masuda,,,,,,,,,,,,,,
222,रामगढ,रामगढ,मसूदा,ajmer,1,ramgarh,ramgarh,masuda,,,,,,,,,,,,,,
223,रामगढ,शिवनगर,मसूदा,ajmer,1,ramgarh,shivnagar,masuda,,,,,,,,,,,,,,
224,रामगढ,आकरोल,मसूदा,ajmer,1,ramgarh,antaol,masuda,,,,,,,,,,,,,,
225,देवास,देवास,मसूदा,ajmer,1,dewas,dewas,masuda,,,,,,,,,,,,,,
226,देवास,लाडपुरा,मसूदा,ajmer,1,dewas,ladpura,masuda,,,,,,,,,,,,,,
227,देवास,देदपुरा,मसूदा,ajmer,1,dewas,dedpura,masuda,,,,,,,,,,,,,,
228,देवास,रीछमाल,मसूदा,ajmer,1,dewas,bear,masuda,,,,,,,,,,,,,,
229,देवास,रेल का बाडिया,मसूदा,ajmer,1,dewas,rail badia,masuda,,,,,,,,,,,,,,
